z,y,x,button
1.543,-740,206,right
1.632,-837,275,right
1.728,-904,524,right
1.836,-907,533,right
1.918,-898,552,right
2.016,-878,564,right
2.628,-827,746,right
2.696,-825,753,right
2.816,-826,744,right
2.878,-826,741,right
3.008,-813,751,right
3.108,-812,750,right
3.206,-788,744,right
3.308,-779,712,right
3.429,-778,711,right
3.514,-770,711,right
3.643,-720,732,right
3.735,-719,732,right
3.846,-696,729,right
3.965,-695,729,right
11.133,-537,1023,right
11.214,-536,1024,right
11.314,-529,1023,right
11.409,-529,1012,right
11.503,-530,1012,right
11.610,-526,1005,right
11.707,-526,1003,right
11.805,-562,877,right
11.907,-582,705,right
12.002,-647,366,right
12.091,-686,309,right
12.213,-743,253,right
12.337,-739,279,right
12.460,-739,278,right
12.732,-683,340,right
12.855,-696,300,right
12.984,-722,231,right
13.107,-774,175,right
13.428,-780,592,right
13.519,-809,632,right
13.634,-794,833,right
13.732,-734,865,right
13.842,-607,1046,right
13.970,-486,1056,right
14.071,-450,1089,right
14.179,-411,1123,right
14.266,-381,1193,right
14.391,-383,1188,right
14.477,-384,1188,right
14.604,-387,1182,right
14.826,-387,1182,right
14.948,-387,1182,right
15.079,-393,1187,right
15.189,-394,1184,right
15.326,-394,1197,right
15.458,-394,1197,right
15.590,-394,1197,right
15.696,-394,1197,right
15.830,-394,1197,right
15.950,-394,1197,right
18.931,-791,285,right
19.047,-986,204,right
19.142,-939,225,right
19.261,-927,225,right
20.329,-970,431,right
20.427,-969,420,right
20.794,-561,1475,right
20.890,-569,1449,right
20.977,-611,1369,right
21.078,-601,1392,right
21.262,-422,1498,right
21.377,-531,1219,right
21.459,-645,830,right
21.583,-781,592,right
21.991,-581,1256,right
22.094,-578,1255,right
22.210,-570,1257,right
22.285,-489,1406,right
22.373,-444,1761,right
22.485,-532,1688,right
22.556,-553,1503,right
22.653,-700,921,right
22.731,-737,553,right
22.849,-788,367,right
22.921,-785,355,right
23.041,-785,357,right
23.135,-796,335,right
23.281,-958,0,right
23.559,-853,287,right
23.678,-896,206,right
23.774,-904,176,right
23.917,-1279,0,right
24.173,-938,668,right
24.281,-920,634,right
24.363,-972,595,right
