time,actions
0,21
1,49
2,100
3,81
4,114
5,67
6,42
7,52
8,76
9,91
10,71
11,32
12,27
13,3
14,15
15,64
16,68
17,52
18,56
19,83
20,4
21,1
22,18
23,51
24,79
25,77
26,46
27,10
28,6
29,42
30,70
31,26
32,90
33,61
34,76
35,4
36,80
37,53
38,74
39,11
40,11
41,13
42,4
43,16
44,90
45,41
46,108
47,69
48,134
49,19
50,49
51,45
52,72
53,22
54,30
55,28
56,8
57,87
58,41
59,91
60,43
61,49
63,8
64,5
65,77
66,85
67,40
68,13
69,55
70,63
71,40
72,70
73,29
75,5
76,55
77,66
78,60
79,75
80,100
81,89
82,50
83,99
84,60
85,129
86,47
87,15
88,89
89,27
90,29
91,5
92,11
93,9
94,4
95,2
