57.04211 - 956,390 - Button.right
57.18080 - 944,409 - Button.right
57.29442 - 896,434 - Button.right
57.42212 - 838,481 - Button.right
57.51977 - 771,624 - Button.right
57.63068 - 757,677 - Button.right
57.74409 - 729,680 - Button.right
57.84895 - 710,704 - Button.right
57.95011 - 647,743 - Button.right
58.06631 - 627,755 - Button.right
58.15991 - 617,765 - Button.right
58.27442 - 564,883 - Button.right
58.38317 - 560,927 - Button.right
58.48587 - 561,936 - Button.right
58.56334 - 550,961 - Button.right
58.68837 - 481,1090 - Button.right
59.08311 - 621,862 - Button.right
59.17327 - 623,862 - Button.right
59.28846 - 628,867 - Button.right
59.41279 - 619,881 - Button.right
59.84802 - 991,876 - Button.right
59.93137 - 1001,877 - Button.right
60.03693 - 1023,850 - Button.right
60.15487 - 1015,855 - Button.right
60.24568 - 981,865 - Button.right
60.36576 - 975,850 - Button.right
60.46939 - 1117,686 - Button.right
60.59122 - 1131,667 - Button.right
60.69302 - 1210,546 - Button.right
60.81062 - 1214,537 - Button.right
60.90849 - 1246,483 - Button.right
61.01644 - 1261,474 - Button.right
61.09703 - 1317,471 - Button.right
61.21340 - 1315,477 - Button.right
61.29734 - 1318,461 - Button.right
61.41795 - 1294,479 - Button.right
61.50991 - 1290,474 - Button.right
61.60747 - 1291,473 - Button.right
61.77408 - 1314,457 - Button.right
61.81692 - 1314,457 - Button.right
62.63111 - 1156,201 - Button.right
62.74849 - 1162,203 - Button.right
62.83044 - 1210,256 - Button.right
62.92669 - 1191,274 - Button.right
63.01040 - 1167,253 - Button.right
63.12901 - 1171,247 - Button.right
63.22786 - 1150,214 - Button.right
63.34636 - 1102,189 - Button.right
63.44189 - 1080,174 - Button.right
63.53352 - 1074,170 - Button.right
66.88292 - 946,624 - Button.right
66.95352 - 893,626 - Button.right
67.03454 - 863,627 - Button.right
67.13649 - 864,627 - Button.right
67.23037 - 828,602 - Button.right
67.35420 - 798,592 - Button.right
67.43890 - 777,571 - Button.right
67.55626 - 778,564 - Button.right
67.65449 - 803,508 - Button.right
67.76663 - 803,508 - Button.right
67.88393 - 803,508 - Button.right
67.98992 - 803,508 - Button.right
68.09912 - 785,581 - Button.right
68.20548 - 802,744 - Button.right
68.31184 - 835,787 - Button.right
68.40934 - 835,795 - Button.right
68.49953 - 831,816 - Button.right
68.60704 - 810,929 - Button.right
68.93181 - 937,899 - Button.right
69.03763 - 942,900 - Button.right
69.12912 - 959,899 - Button.right
69.24150 - 968,904 - Button.right
70.43330 - 977,962 - Button.right
70.54114 - 981,996 - Button.right
70.62878 - 970,1001 - Button.right
70.72602 - 946,1038 - Button.right
71.04863 - 921,809 - Button.right
71.14071 - 910,826 - Button.right
71.24153 - 912,913 - Button.right
71.34455 - 916,930 - Button.right
71.44639 - 916,936 - Button.right
71.56642 - 903,939 - Button.right
71.78405 - 1007,911 - Button.right
71.87723 - 1009,904 - Button.right
71.99410 - 1029,872 - Button.right
72.10047 - 1035,881 - Button.right
72.22358 - 1112,845 - Button.right
72.32200 - 1108,844 - Button.right
72.45461 - 1083,806 - Button.right
72.54515 - 1071,809 - Button.right
72.68687 - 1078,757 - Button.right
72.78689 - 1015,710 - Button.right
72.88910 - 1003,702 - Button.right
72.99607 - 1000,701 - Button.right
73.08282 - 1001,702 - Button.right
73.19254 - 1003,697 - Button.right
73.82441 - 1086,703 - Button.right
73.91612 - 1040,718 - Button.right
74.01567 - 1038,711 - Button.right
74.12488 - 1041,710 - Button.right
74.84498 - 933,389 - Button.right
74.95306 - 933,389 - Button.right
75.06062 - 916,423 - Button.right
75.17591 - 879,565 - Button.right
75.28120 - 803,662 - Button.right
75.39463 - 765,779 - Button.right
75.50207 - 770,823 - Button.right
75.61639 - 725,927 - Button.right
75.73714 - 730,998 - Button.right
75.85416 - 718,1019 - Button.right
76.43745 - 973,946 - Button.right
76.52930 - 994,932 - Button.right
76.62361 - 1038,905 - Button.right
76.74063 - 1033,905 - Button.right
76.84570 - 1028,916 - Button.right
76.96034 - 1040,923 - Button.right
77.08713 - 1032,931 - Button.right
77.19630 - 969,956 - Button.right
77.61161 - 755,914 - Button.right
77.71712 - 794,898 - Button.right
77.80906 - 947,907 - Button.right
77.93915 - 948,911 - Button.right
78.01571 - 832,923 - Button.right
78.12527 - 824,928 - Button.right
78.22933 - 787,929 - Button.right
78.33726 - 762,935 - Button.right
78.44525 - 756,930 - Button.right
78.57060 - 755,930 - Button.right
78.71431 - 751,868 - Button.right
78.83628 - 743,805 - Button.right
78.94013 - 739,765 - Button.right
79.04222 - 655,799 - Button.right
79.16235 - 613,812 - Button.right
79.28343 - 612,813 - Button.right
79.55143 - 823,647 - Button.right
79.65219 - 837,639 - Button.right
79.76171 - 835,635 - Button.right
79.88273 - 827,633 - Button.right
79.99753 - 788,661 - Button.right
80.10828 - 721,720 - Button.right
80.23938 - 718,721 - Button.right
80.35546 - 694,770 - Button.right
80.49146 - 728,807 - Button.right
80.60626 - 734,808 - Button.right
80.72830 - 834,803 - Button.right
80.84319 - 836,803 - Button.right
81.39020 - 1145,839 - Button.right
81.50673 - 1139,832 - Button.right
81.60299 - 1142,844 - Button.right
81.71076 - 1157,862 - Button.right
81.81570 - 1043,820 - Button.right
81.94340 - 942,753 - Button.right
82.04914 - 917,727 - Button.right
82.17872 - 838,758 - Button.right
82.30237 - 818,776 - Button.right
82.42817 - 818,776 - Button.right
82.56707 - 965,825 - Button.right
82.68705 - 980,882 - Button.right
82.79418 - 985,901 - Button.right
82.90944 - 968,909 - Button.right
83.02245 - 859,850 - Button.right
83.13776 - 784,812 - Button.right
83.23183 - 667,723 - Button.right
83.36145 - 666,722 - Button.right
83.46124 - 665,701 - Button.right
83.60129 - 667,704 - Button.right
83.72682 - 659,706 - Button.right
83.85077 - 593,710 - Button.right
83.95215 - 465,818 - Button.right
84.07081 - 454,839 - Button.right
84.33352 - 559,651 - Button.right
84.44440 - 555,662 - Button.right
84.55627 - 505,796 - Button.right
84.68909 - 206,1169 - Button.right
85.02916 - 411,764 - Button.right
85.13258 - 409,762 - Button.right
