z,y,x,button
2.009,-1075,868,left
2.107,-1075,868,left
3.647,-1256,1336,left
3.734,-1256,1336,left
5.493,-216,206,right
5.619,-215,206,right
6.318,-219,259,right
6.425,-219,259,right
6.528,-219,259,right
6.628,-219,259,right
6.716,-219,259,right
6.803,-219,259,right
6.907,-219,259,right
6.984,-219,259,right
7.578,-215,335,right
7.687,-215,335,right
17.151,-1221,1905,right
17.297,-1221,1904,right
22.817,-574,1413,right
22.953,-573,1413,right
23.225,-661,1425,right
23.317,-661,1428,right
23.408,-661,1429,right
23.531,-667,1453,right
23.590,-667,1453,right
23.728,-667,1453,right
33.642,-643,1090,right
33.746,-643,1090,right
34.390,-657,961,right
34.541,-732,740,right
34.904,-809,596,right
35.068,-812,588,right
35.449,-797,460,right
35.585,-796,460,right
35.950,-709,659,right
36.054,-709,661,right
36.215,-710,708,right
36.347,-710,708,right
36.487,-710,726,right
36.606,-709,727,right
36.751,-733,757,right
36.866,-775,798,right
36.995,-801,818,right
37.114,-803,820,right
37.248,-827,832,right
37.355,-827,833,right
37.497,-850,905,right
37.608,-850,905,right
37.815,-855,1028,right
37.938,-856,1042,right
38.321,-868,1102,right
38.450,-867,1103,right
48.902,-729,833,right
49.031,-729,833,right
49.359,-780,803,right
49.481,-781,802,right
49.783,-809,751,right
49.921,-809,751,right
66.441,-1054,1854,left
66.513,-1054,1856,left
97.089,-800,1046,right
97.175,-801,1043,right
97.290,-756,1116,right
97.412,-764,1120,right
97.523,-742,1138,right
97.633,-735,1147,right
97.748,-705,1133,right
97.861,-684,1144,right
97.953,-667,1166,right
98.066,-666,1166,right
98.148,-667,1168,right
98.271,-667,1168,right
98.353,-669,1194,right
98.486,-668,1192,right
98.552,-668,1193,right
98.688,-670,1192,right
98.763,-670,1192,right
98.903,-670,1192,right
101.935,-1156,1310,left
102.488,-1145,1363,left
106.624,-765,1104,right
106.709,-764,1108,right
115.144,-268,753,right
115.225,-268,753,right
115.330,-268,753,right
115.423,-268,752,right
115.942,-464,754,right
116.057,-465,761,right
117.602,-1089,786,left
117.719,-1089,786,left
120.993,-457,1079,right
121.094,-457,1079,right
121.185,-457,1079,right
121.287,-465,1083,right
121.377,-465,1083,right
121.484,-465,1083,right
143.929,-930,1145,right
144.031,-929,1145,right
144.607,-918,1144,right
144.727,-918,1144,right
149.323,-651,890,right
149.413,-651,890,right
149.656,-651,890,right
149.776,-651,890,right
153.804,-518,569,right
153.907,-510,567,right
153.999,-510,566,right
154.132,-506,419,right
155.149,-183,835,right
155.273,-182,835,right
158.094,-773,807,right
158.204,-773,807,right
158.329,-773,807,right
158.426,-773,807,right
158.532,-773,807,right
158.628,-773,807,right
158.734,-773,807,right
158.841,-773,806,right
161.842,-882,910,right
161.946,-871,901,right
164.321,-711,795,right
164.425,-711,795,right
165.490,-700,828,right
165.584,-700,827,right
166.041,-846,863,right
166.130,-846,863,right
169.986,-653,848,right
170.111,-653,848,right
170.538,-653,848,right
170.646,-653,848,right
184.690,-236,294,right
184.782,-235,294,right
185.384,-372,112,right
185.466,-364,107,right
186.630,-1108,946,left
186.737,-1108,947,left
189.338,-444,699,right
189.429,-453,681,right
189.717,-403,557,right
189.829,-402,556,right
189.916,-402,556,right
190.033,-402,556,right
190.141,-402,556,right
190.279,-402,556,right
194.457,-751,716,right
194.558,-756,711,right
194.667,-754,713,right
194.830,-754,700,right
194.865,-754,699,right
194.995,-755,698,right
195.413,-643,698,right
195.489,-643,698,right
195.580,-644,698,right
195.682,-644,699,right
209.016,-752,697,right
209.108,-753,697,right
213.987,-652,867,right
214.103,-652,867,right
218.152,-502,534,right
218.258,-491,528,right
218.355,-370,403,right
218.465,-331,329,right
219.306,-438,1130,right
219.418,-438,1130,right
220.499,-1036,1794,left
220.590,-1036,1794,left
224.318,-458,1463,right
224.420,-456,1459,right
224.508,-455,1458,right
224.604,-455,1458,right
224.731,-455,1458,right
224.808,-454,1457,right
226.261,-918,1404,right
226.369,-917,1404,right
241.249,-996,1001,right
241.361,-996,1001,right
246.874,-745,1111,right
247.006,-744,1111,right
250.029,-1011,1804,left
250.140,-1011,1804,left
253.847,-0,957,right
254.001,-48,955,right
254.646,-2,514,right
254.767,-67,477,right
256.113,-386,1430,right
256.230,-386,1430,right
259.017,-686,1486,right
259.131,-725,1473,right
259.204,-731,1472,right
259.304,-793,1489,right
260.001,-382,1023,right
260.115,-13,539,right
260.206,-0,595,right
260.320,-0,292,right
261.836,-573,1698,right
261.903,-556,1679,right
261.996,-527,1710,right
262.087,-524,1713,right
262.611,-239,1549,right
262.686,-240,1502,right
262.786,-213,1359,right
262.894,-209,1355,right
262.971,-201,1346,right
263.064,-199,1345,right
264.895,-180,1242,right
264.995,-178,1216,right
265.104,-72,934,right
265.210,-0,487,right
266.616,-398,1425,right
266.711,-398,1429,right
266.804,-406,1424,right
266.902,-433,1421,right
266.989,-524,1330,right
267.091,-549,1316,right
267.192,-552,1310,right
267.268,-552,1310,right
267.377,-548,1300,right
267.472,-548,1300,right
267.581,-557,1288,right
267.687,-578,1289,right
267.787,-598,1295,right
267.893,-600,1298,right
267.983,-596,1309,right
268.096,-585,1319,right
268.179,-561,1349,right
268.280,-566,1349,right
268.378,-534,1358,right
268.492,-523,1362,right
268.570,-485,1404,right
268.669,-492,1417,right
270.157,-1014,659,right
270.288,-774,934,right
270.747,-729,859,right
270.855,-782,898,right
270.986,-893,906,right
271.089,-894,904,right
271.531,-752,934,right
271.626,-756,931,right
274.051,-1094,948,left
274.128,-1094,948,left
274.462,-868,1374,right
274.574,-906,1389,right
275.684,-908,1577,right
275.762,-907,1580,right
275.979,-677,1963,right
276.088,-679,1965,right
281.292,-678,1186,right
281.395,-678,1186,right
281.507,-710,1201,right
281.603,-715,1209,right
281.719,-715,1209,right
281.819,-715,1209,right
281.989,-727,1206,right
282.074,-731,1210,right
282.206,-731,1211,right
282.287,-731,1211,right
282.395,-734,1228,right
282.503,-733,1228,right
282.606,-734,1228,right
282.713,-736,1234,right
283.300,-785,1492,right
283.404,-784,1492,right
283.514,-815,1504,right
283.656,-834,1528,right
284.649,-480,462,right
284.743,-445,467,right
284.833,-382,590,right
284.949,-380,594,right
285.024,-383,574,right
285.151,-407,523,right
285.211,-409,516,right
285.336,-409,509,right
285.415,-413,504,right
285.537,-415,492,right
289.544,-1118,1883,left
289.649,-1118,1882,left
292.616,-704,820,right
292.735,-841,923,right
292.794,-830,911,right
292.913,-854,922,right
292.978,-876,911,right
293.074,-890,917,right
293.165,-900,911,right
293.246,-901,927,right
293.328,-908,931,right
293.432,-909,937,right
293.522,-932,930,right
293.598,-934,942,right
293.701,-944,969,right
293.791,-943,971,right
293.911,-944,971,right
294.033,-944,971,right
295.832,-533,485,right
295.935,-521,485,right
296.057,-321,441,right
296.213,-314,438,right
296.541,-222,399,right
296.654,-221,398,right
297.318,-1235,1968,right
297.396,-1250,1944,right
297.517,-1113,1871,right
297.639,-1114,1874,right
297.736,-1134,1887,right
297.840,-1133,1887,right
297.897,-1133,1887,right
298.011,-1132,1886,right
298.131,-1132,1886,left
298.264,-1136,1885,left
299.925,-501,894,right
300.027,-501,893,right
300.118,-501,881,right
300.214,-501,881,right
300.305,-501,881,right
300.411,-503,889,right
300.497,-503,889,right
300.602,-503,889,right
300.732,-514,884,right
300.846,-514,884,right
302.344,-667,1134,right
302.446,-686,1153,right
302.538,-743,1094,right
302.640,-787,1082,right
302.720,-820,1058,right
302.828,-839,1074,right
302.910,-837,1072,right
303.009,-864,1041,right
303.100,-883,961,right
303.209,-889,975,right
303.296,-891,967,right
303.391,-902,964,right
303.491,-892,948,right
303.583,-897,963,right
303.677,-890,955,right
303.775,-907,954,right
303.884,-930,949,right
303.977,-948,961,right
304.071,-947,960,right
304.162,-951,971,right
304.256,-952,1002,right
304.360,-959,1012,right
304.444,-959,1060,right
304.547,-955,1064,right
304.638,-943,1125,right
304.746,-940,1142,right
304.819,-926,1241,right
304.931,-926,1238,right
305.018,-899,1229,right
305.135,-899,1228,right
305.211,-891,1251,right
305.531,-929,1338,right
305.614,-936,1375,right
305.718,-958,1381,right
305.810,-952,1406,right
305.921,-945,1421,right
309.399,-828,1271,right
309.482,-900,1143,right
309.563,-888,1183,right
309.669,-1007,1138,right
309.754,-972,1131,right
309.866,-980,1131,right
310.137,-1036,886,right
310.239,-1046,850,right
310.339,-941,650,right
310.498,-1090,465,right
311.300,-516,873,right
311.411,-520,890,right
316.046,-565,1383,right
316.155,-559,1386,right
316.578,-418,1430,right
316.646,-418,1430,right
316.885,-376,1382,right
316.983,-380,1382,right
318.273,-666,1085,right
318.381,-733,1109,right
318.475,-766,1113,right
318.561,-812,1142,right
318.676,-826,1213,right
318.768,-829,1220,right
318.880,-798,1321,right
318.989,-709,1422,right
319.071,-522,1605,right
319.183,-599,1588,right
319.927,-488,1321,right
320.010,-486,1323,right
320.118,-391,1342,right
320.205,-388,1342,right
320.297,-382,1345,right
320.416,-379,1346,right
321.774,-624,1492,right
321.852,-624,1492,right
322.996,-558,1572,right
323.082,-556,1573,right
323.177,-540,1597,right
323.266,-502,1630,right
324.478,-535,1535,right
324.597,-536,1539,right
324.913,-812,1628,right
325.008,-874,1631,right
325.103,-880,1623,right
325.200,-880,1623,right
325.281,-877,1633,right
325.372,-877,1633,right
325.484,-854,1773,right
325.599,-925,2047,right
325.904,-849,1536,right
326.021,-880,1559,right
326.455,-878,1685,right
326.565,-879,1684,right
327.163,-584,1724,right
327.234,-585,1685,right
327.338,-471,1509,right
327.436,-494,1384,right
327.536,-494,1392,right
327.649,-494,1392,right
328.322,-649,1299,right
328.425,-656,1307,right
328.515,-628,1286,right
328.629,-627,1285,right
328.691,-616,1261,right
328.825,-620,1264,right
328.900,-620,1264,right
329.019,-621,1268,right
333.973,-721,1101,right
334.079,-719,1101,right
337.059,-731,1148,right
337.168,-731,1148,right
341.074,-598,1033,right
341.183,-598,1031,right
344.260,-803,1428,right
344.363,-804,1434,right
344.436,-820,1450,right
344.530,-848,1472,right
