time,actions
0,142
1,37
2,54
3,55
4,151
5,194
6,67
7,156
8,123
9,110
10,209
11,239
12,165
13,271
14,76
15,198
16,196
17,171
18,230
19,194
20,245
21,233
22,275
23,229
24,231
25,290
26,191
27,233
28,279
29,127
30,262
31,325
32,240
33,202
34,170
35,169
36,236
37,370
38,119
