time,actions
0,235
1,278
2,203
3,263
4,252
5,350
6,167
7,176
8,154
9,79
10,224
11,213
12,165
13,208
14,175
15,328
16,120
17,145
18,311
19,197
20,72
21,128
22,123
23,177
24,221
25,25
