time,actions
0,50
1,32
2,48
3,60
4,56
5,56
6,54
7,71
8,81
9,61
10,76
11,81
12,57
13,51
14,61
15,4
16,16
17,5
18,59
19,48
20,82
21,80
22,4
23,9
24,56
25,82
26,54
27,4
28,4
29,69
30,44
32,5
33,30
34,63
35,43
36,48
37,75
38,53
39,82
40,60
41,33
42,73
43,29
44,9
45,53
46,55
47,8
48,20
49,16
50,51
51,74
52,72
53,39
54,12
55,6
56,14
57,26
58,26
59,29
60,26
61,60
62,16
63,25
64,9
65,62
66,74
67,62
68,45
69,28
70,44
71,17
72,30
73,81
74,60
75,53
76,64
77,54
78,4
80,25
81,53
82,70
83,34
84,61
85,61
86,93
87,50
88,43
89,53
90,84
91,74
92,78
93,37
94,17
95,3
96,2
98,10
99,17
100,64
101,3
102,42
103,28
104,65
105,74
106,34
107,45
108,27
109,23
110,24
111,41
112,9
113,68
114,93
115,74
116,55
117,55
118,1
119,9
120,10
121,7
122,12
123,24
124,112
125,10
127,2
128,2
129,42
130,18
131,34
132,45
133,79
134,3
136,2
137,2
138,11
139,31
140,100
141,69
142,2
143,8
144,9
145,15
146,44
147,61
148,58
149,88
150,76
151,60
152,46
153,54
