z,y,x,button
62.169,-639,1699,right
62.264,-636,1705,right
62.787,-555,1155,right
62.911,-484,1199,right
63.006,-455,1371,right
63.114,-575,1344,right
63.242,-589,1129,right
63.352,-652,1009,right
63.439,-718,860,right
63.540,-817,760,right
64.670,-311,1501,right
64.770,-255,1556,right
64.852,-111,1560,right
64.953,-124,1548,right
65.108,-65,1465,right
65.238,-86,1438,right
65.756,-78,1235,right
65.863,-82,1228,right
65.983,-138,1170,right
66.085,-308,954,right
66.185,-319,914,right
66.287,-361,842,right
66.394,-337,762,right
66.501,-371,697,right
66.605,-371,696,right
66.730,-374,698,right
67.528,-635,651,right
67.634,-669,597,right
67.743,-635,560,right
67.837,-639,568,right
67.933,-620,598,right
68.023,-708,610,right
68.912,-614,979,right
69.030,-496,1075,right
69.132,-357,1166,right
69.249,-347,1194,right
69.899,-250,1489,right
70.001,-257,1473,right
70.107,-259,1502,right
70.206,-258,1503,right
70.319,-268,1586,right
70.447,-361,1607,right
70.547,-379,1595,right
70.661,-507,1489,right
70.751,-527,1492,right
70.877,-596,1389,right
70.958,-635,1287,right
71.066,-721,1139,right
71.141,-755,1026,right
71.245,-803,982,right
71.342,-778,934,right
71.433,-803,857,right
72.451,-539,1331,right
72.556,-493,1482,right
72.641,-290,1459,right
72.740,-305,1426,right
73.285,-105,1302,right
73.382,-105,1302,right
73.525,-33,1171,right
73.610,-29,1144,right
73.721,-43,1115,right
73.831,-44,1084,right
74.106,-92,869,right
74.202,-92,865,right
74.330,-117,996,right
74.441,-127,988,right
74.765,-60,1461,right
74.876,-54,1481,right
75.148,-204,1331,right
75.242,-209,1334,right
75.349,-230,1367,right
75.451,-284,1382,right
75.563,-298,1453,right
75.660,-304,1447,right
75.783,-481,1267,right
75.885,-728,1064,right
75.986,-901,1002,right
76.065,-992,994,right
76.539,-369,1520,right
76.635,-322,1546,right
76.733,-252,1618,right
76.828,-249,1565,right
76.933,-212,1535,right
77.059,-206,1540,right
77.514,-68,1602,right
77.620,-76,1602,right
78.112,-74,1641,right
78.224,-101,1606,right
78.351,-55,1537,right
78.459,-53,1432,right
78.590,-0,1328,right
