116.60248 - 914,707 - Button.right
116.66631 - 892,762 - Button.right
116.80499 - 939,850 - Button.right
116.88838 - 958,876 - Button.right
117.03796 - 963,876 - Button.right
117.67949 - 1259,591 - Button.right
117.81090 - 1261,560 - Button.right
118.09122 - 1426,398 - Button.right
118.20130 - 1417,406 - Button.right
118.41416 - 1172,517 - Button.right
118.46762 - 1126,565 - Button.right
118.56107 - 1375,196 - Button.right
118.72786 - 1383,178 - Button.right
118.78673 - 1380,188 - Button.right
118.90291 - 1316,286 - Button.right
119.66927 - 876,1091 - Button.left
119.74380 - 877,1092 - Button.left
119.91024 - 1190,602 - Button.right
120.02327 - 1102,703 - Button.right
120.10351 - 1072,682 - Button.right
120.23087 - 960,783 - Button.right
120.28793 - 947,785 - Button.right
120.45876 - 909,786 - Button.right
120.51274 - 909,784 - Button.right
120.64042 - 918,798 - Button.right
120.72644 - 935,816 - Button.right
120.84798 - 940,833 - Button.right
120.92955 - 944,829 - Button.right
121.03761 - 944,832 - Button.right
121.14548 - 1005,800 - Button.right
121.25424 - 1004,800 - Button.right
121.34413 - 1022,777 - Button.right
121.46511 - 960,803 - Button.right
121.73755 - 1231,577 - Button.right
121.83434 - 1275,516 - Button.right
121.92392 - 1354,443 - Button.right
122.03666 - 1385,400 - Button.right
122.11850 - 1470,313 - Button.right
122.23950 - 1471,283 - Button.right
122.62716 - 1334,249 - Button.right
122.73753 - 1334,250 - Button.right
122.83503 - 1149,436 - Button.right
122.96346 - 987,584 - Button.right
123.03852 - 1042,654 - Button.right
123.18608 - 1028,657 - Button.right
123.65054 - 1384,244 - Button.right
123.77912 - 1389,243 - Button.right
124.27273 - 1528,44 - Button.right
124.38923 - 1451,73 - Button.right
124.49308 - 1233,161 - Button.right
124.61203 - 1048,278 - Button.right
125.05410 - 891,824 - Button.right
125.16467 - 851,837 - Button.right
125.26552 - 717,832 - Button.right
125.37602 - 712,776 - Button.right
125.48871 - 712,776 - Button.right
125.58591 - 669,796 - Button.right
125.67171 - 653,780 - Button.right
125.77340 - 611,780 - Button.right
125.87835 - 589,733 - Button.right
125.97912 - 570,722 - Button.right
126.05138 - 583,658 - Button.right
126.15654 - 580,643 - Button.right
126.22986 - 579,614 - Button.right
126.34771 - 594,635 - Button.right
126.44124 - 639,697 - Button.right
126.55587 - 661,668 - Button.right
126.67706 - 860,531 - Button.right
126.79416 - 860,566 - Button.right
126.87507 - 779,558 - Button.right
126.97182 - 786,558 - Button.right
127.06936 - 1248,182 - Button.right
127.19321 - 1452,94 - Button.right
128.56253 - 1086,473 - Button.right
128.67237 - 1085,472 - Button.right
128.77323 - 1076,482 - Button.right
128.85761 - 1075,482 - Button.right
129.18809 - 1135,408 - Button.right
129.29227 - 1149,372 - Button.right
129.36705 - 1187,349 - Button.right
129.47707 - 1186,316 - Button.right
129.57986 - 1211,244 - Button.right
129.69235 - 1212,231 - Button.right
129.84320 - 1214,224 - Button.right
129.95774 - 1219,229 - Button.right
130.42616 - 1121,165 - Button.right
130.54102 - 1089,174 - Button.right
131.67763 - 1769,307 - Button.right
131.77715 - 1706,317 - Button.right
131.88557 - 1562,386 - Button.right
131.98425 - 1558,378 - Button.right
132.10321 - 1518,382 - Button.right
132.19524 - 1517,380 - Button.right
132.35516 - 1551,364 - Button.right
132.46607 - 1628,334 - Button.right
132.58191 - 1629,314 - Button.right
132.68236 - 1591,278 - Button.right
132.84457 - 1602,295 - Button.right
132.91493 - 1602,295 - Button.right
