z,y,x,button
5.510,-1098,845,left
5.597,-1098,845,left
6.404,-1260,1314,left
6.472,-1260,1314,left
9.295,-613,224,left
9.368,-613,224,left
11.724,-467,287,left
11.825,-467,287,left
16.783,-470,1085,right
16.884,-469,1085,right
18.204,-1155,2000,right
18.302,-1154,2000,right
18.709,-1157,2016,right
18.830,-1159,2020,right
30.641,-1200,2018,right
30.767,-1200,2018,right
37.906,-465,1123,right
38.002,-464,1122,right
38.110,-465,1121,right
38.205,-465,1107,right
38.336,-473,1095,right
38.445,-480,1083,right
38.596,-525,1106,right
38.686,-556,1109,right
39.203,-801,1035,right
39.293,-711,1226,right
39.398,-720,1315,right
39.484,-725,1318,right
39.600,-733,1316,right
39.708,-737,1321,right
40.761,-817,1357,right
40.864,-816,1360,right
40.975,-817,1361,right
41.099,-815,1352,right
41.210,-817,1348,right
41.299,-821,1345,right
41.432,-854,1291,right
41.523,-859,1279,right
42.118,-681,1087,right
42.215,-669,1092,right
42.550,-608,1125,right
42.629,-608,1130,right
42.956,-581,1182,right
43.050,-581,1182,right
43.368,-501,1214,right
43.465,-500,1214,right
43.743,-0,1520,right
43.846,-30,1479,right
43.961,-66,1430,right
44.075,-95,1419,right
44.157,-96,1419,right
44.298,-97,1410,right
44.741,-269,1390,right
44.846,-279,1380,right
44.910,-272,1356,right
45.022,-272,1357,right
48.752,-223,1126,right
48.847,-226,1120,right
48.941,-228,1124,right
49.036,-228,1124,right
49.356,-287,1368,right
49.456,-287,1368,right
49.549,-293,1376,right
49.658,-294,1380,right
49.756,-295,1381,right
49.864,-294,1385,right
50.619,-516,1515,right
50.706,-514,1507,right
51.502,-278,1181,right
51.607,-282,1184,right
51.700,-327,1191,right
51.804,-327,1190,right
51.895,-347,1177,right
52.009,-347,1177,right
52.468,-367,1101,right
52.586,-371,1091,right
52.691,-404,971,right
52.780,-408,941,right
52.892,-417,933,right
52.991,-415,933,right
53.581,-445,769,right
53.685,-446,766,right
54.186,-381,937,right
54.279,-383,959,right
54.385,-431,1085,right
54.496,-431,1086,right
54.641,-427,1089,right
54.709,-427,1089,right
55.325,-489,1269,right
55.416,-487,1282,right
55.497,-497,1306,right
55.599,-641,1301,right
56.856,-363,1317,right
56.942,-295,1336,right
57.026,-225,1338,right
57.131,-228,1328,right
57.237,-178,1341,right
57.330,-177,1341,right
57.434,-177,1341,right
57.543,-181,1322,right
57.971,-211,1096,right
58.073,-224,1006,right
58.167,-220,993,right
58.271,-219,993,right
58.423,-199,1035,right
58.528,-199,1034,right
58.619,-329,1030,right
58.757,-571,985,right
58.829,-595,982,right
58.934,-648,987,right
59.021,-687,1025,right
59.141,-715,1050,right
59.225,-728,1073,right
59.354,-754,1125,right
59.438,-786,1232,right
59.561,-793,1241,right
59.671,-740,1291,right
59.761,-741,1292,right
59.925,-592,1378,right
60.053,-544,1379,right
60.169,-741,1299,right
60.288,-810,1279,right
60.370,-745,1308,right
60.489,-593,1319,right
60.559,-454,1324,right
60.681,-435,1330,right
60.786,-278,1329,right
60.910,-269,1329,right
60.983,-247,1317,right
61.121,-279,1232,right
61.214,-292,1190,right
61.323,-307,1130,right
61.430,-319,1129,right
61.523,-319,1130,right
61.635,-314,1181,right
61.726,-330,1184,right
61.840,-268,1321,right
61.949,-249,1346,right
62.036,-250,1347,right
62.162,-333,1239,right
62.270,-378,1140,right
62.382,-437,1063,right
62.482,-560,917,right
62.609,-618,876,right
62.692,-619,868,right
62.831,-639,794,right
62.903,-663,762,right
63.025,-671,755,right
63.129,-669,748,right
63.248,-678,714,right
63.835,-745,511,right
63.944,-746,511,right
64.399,-466,1062,right
64.508,-468,1070,right
64.591,-479,1084,right
64.698,-485,1113,right
64.786,-491,1140,right
64.905,-498,1148,right
65.654,-115,1377,right
65.735,-101,1399,right
66.017,-189,1424,right
66.115,-188,1430,right
66.219,-181,1435,right
66.345,-180,1435,right
66.463,-180,1436,right
66.564,-180,1437,right
66.878,-170,1317,right
66.980,-159,1328,right
72.932,-344,1320,right
73.022,-354,1298,right
73.108,-419,1279,right
73.217,-446,1292,right
73.310,-470,1281,right
73.414,-510,1275,right
74.111,-730,1231,right
74.204,-747,1235,right
74.319,-762,1247,right
74.405,-758,1245,right
74.497,-713,1224,right
74.604,-710,1227,right
74.724,-718,1246,right
74.828,-717,1248,right
74.945,-709,1287,right
75.051,-709,1294,right
75.170,-715,1361,right
75.263,-715,1362,right
75.371,-688,1379,right
75.469,-697,1338,right
75.582,-677,1425,right
75.679,-680,1484,right
75.762,-671,1501,right
75.868,-666,1505,right
75.955,-610,1484,right
76.048,-611,1475,right
76.134,-605,1475,right
76.236,-604,1476,right
76.320,-557,1450,right
76.431,-558,1385,right
76.504,-560,1341,right
76.616,-600,1335,right
76.700,-569,1302,right
76.814,-562,1289,right
76.890,-502,1262,right
76.993,-502,1262,right
77.088,-488,1255,right
77.198,-488,1255,right
77.284,-462,1254,right
77.376,-425,1290,right
77.492,-275,1413,right
77.588,-246,1446,right
77.681,-158,1523,right
77.789,-143,1531,right
77.880,-90,1546,right
78.005,-77,1549,right
78.145,-0,1565,right
78.249,-27,1560,right
78.359,-62,1506,right
78.473,-208,1440,right
78.574,-297,1397,right
78.671,-296,1341,right
78.757,-276,1330,right
78.875,-267,1296,right
78.955,-228,1279,right
79.076,-225,1271,right
79.159,-201,1259,right
79.281,-197,1258,right
79.397,-177,1270,right
79.482,-195,1280,right
79.610,-418,1385,right
79.706,-435,1301,right
79.806,-401,1249,right
79.915,-401,1228,right
80.024,-360,1181,right
80.130,-311,1149,right
80.219,-250,1161,right
80.340,-259,1164,right
80.457,-275,1157,right
80.568,-299,1100,right
80.688,-283,997,right
80.797,-286,977,right
80.902,-297,977,right
81.010,-424,980,right
81.118,-519,1093,right
81.224,-536,1114,right
81.328,-497,1285,right
81.452,-497,1286,right
81.545,-495,1297,right
81.656,-533,1282,right
81.764,-547,1286,right
81.862,-571,1308,right
81.962,-563,1337,right
82.079,-626,1227,right
82.169,-688,1161,right
82.301,-760,1104,right
82.382,-762,1103,right
82.510,-769,1108,right
82.592,-789,1140,right
82.700,-798,1142,right
82.794,-725,1123,right
82.917,-739,1120,right
83.000,-740,1116,right
83.112,-828,1058,right
83.214,-831,1094,right
83.328,-831,1097,right
83.477,-680,1298,right
83.582,-581,1351,right
83.669,-474,1437,right
83.783,-473,1439,right
83.873,-499,1406,right
83.998,-825,1078,right
84.080,-816,1083,right
84.202,-844,1063,right
84.276,-772,1060,right
84.382,-785,1053,right
84.521,-540,1301,right
84.617,-520,1317,right
84.712,-382,1454,right
84.832,-382,1461,right
84.917,-382,1465,right
85.025,-370,1471,right
85.119,-298,1494,right
85.234,-286,1499,right
85.325,-264,1552,right
85.447,-278,1548,right
85.571,-273,1482,right
85.687,-285,1350,right
85.788,-281,1337,right
85.894,-279,1337,right
85.985,-246,1331,right
86.119,-246,1329,right
86.247,-182,1297,right
86.367,-202,1280,right
86.481,-232,1246,right
86.603,-263,1136,right
86.707,-272,1122,right
86.831,-275,1115,right
86.959,-285,1127,right
87.074,-345,1132,right
87.185,-389,1161,right
87.272,-411,1146,right
87.388,-418,1389,right
87.492,-416,1397,right
87.605,-403,1421,right
87.719,-403,1422,right
87.846,-396,1477,right
87.965,-403,1491,right
88.402,-583,1574,right
88.517,-589,1589,right
88.627,-521,1656,right
88.757,-488,1635,right
88.863,-451,1623,right
88.995,-451,1627,right
89.563,-681,1655,right
89.687,-679,1654,right
89.793,-640,1668,right
89.902,-640,1667,right
90.196,-462,1540,right
90.313,-444,1533,right
90.428,-436,1535,right
90.554,-434,1536,right
90.931,-354,1406,right
91.038,-351,1296,right
91.123,-339,1273,right
91.241,-335,1241,right
92.617,-178,1394,right
92.731,-169,1392,right
92.835,-203,1594,right
92.953,-214,1600,right
93.044,-181,1601,right
93.176,-172,1596,right
93.468,-151,1307,right
93.577,-186,1243,right
93.693,-181,1245,right
93.783,-181,1245,right
94.244,-266,1704,right
94.352,-264,1702,right
94.454,-202,1659,right
94.581,-170,1577,right
94.688,-161,1564,right
94.805,-162,1564,right
94.928,-230,1516,right
95.032,-278,1421,right
95.167,-248,1417,right
95.302,-246,1417,right
95.424,-240,1451,right
95.543,-220,1489,right
95.624,-205,1534,right
95.737,-204,1512,right
95.880,-47,1440,right
95.985,-0,1432,right
96.151,-230,1406,right
96.266,-244,1362,right
96.364,-227,1367,right
96.479,-291,1256,right
96.601,-330,1226,right
96.714,-323,1178,right
96.799,-301,1182,right
96.914,-300,1183,right
97.064,-428,1299,right
97.166,-479,1307,right
97.301,-562,1614,right
97.425,-907,1917,right
98.210,-407,1425,right
