z,y,x,button
1.275,-738,1401,right
1.360,-738,1401,right
1.458,-738,1401,right
1.554,-738,1401,right
1.930,-784,1055,right
2.022,-759,1057,right
2.112,-724,1044,right
2.228,-729,1030,right
5.368,-667,558,right
5.457,-779,599,right
5.548,-725,644,right
5.639,-736,673,right
5.737,-765,744,right
5.821,-796,802,right
5.918,-857,1040,right
6.032,-857,1040,right
6.111,-857,1040,right
6.225,-842,1121,right
6.910,-885,1232,right
6.933,-885,1232,right
7.058,-837,1233,right
7.148,-837,1233,right
7.280,-826,1240,right
7.415,-880,1225,right
7.830,-758,1130,right
7.922,-748,1146,right
8.066,-690,1155,right
8.146,-661,1155,right
8.255,-639,1149,right
8.338,-656,1140,right
8.898,-1041,456,right
9.003,-1020,472,right
9.068,-971,478,right
9.239,-1279,0,right
9.730,-589,682,right
9.830,-637,686,right
9.953,-688,633,right
10.073,-665,552,right
10.405,-533,607,right
10.533,-557,536,right
10.633,-559,527,right
10.743,-563,508,right
10.811,-564,500,right
10.918,-561,503,right
11.019,-571,503,right
11.119,-571,503,right
11.219,-571,503,right
11.340,-584,505,right
11.439,-595,503,right
11.558,-595,503,right
11.663,-595,503,right
11.786,-595,503,right
11.893,-595,503,right
12.026,-595,504,right
12.129,-595,504,right
12.250,-595,504,right
12.782,-600,504,right
12.899,-600,503,right
13.049,-602,504,right
13.172,-602,504,right
13.556,-881,544,right
13.667,-951,546,right
13.774,-936,578,right
13.901,-943,589,right
14.420,-797,900,right
14.525,-796,902,right
14.608,-826,947,right
14.728,-868,964,right
14.812,-967,1101,right
14.914,-1279,1556,right
15.475,-876,1354,right
15.599,-874,1354,right
15.698,-874,1357,right
15.803,-873,1371,right
15.890,-874,1371,right
16.010,-873,1371,right
16.131,-873,1371,right
16.253,-873,1371,right
16.344,-873,1371,right
16.445,-874,1374,right
16.856,-636,1016,right
16.983,-655,1017,right
17.053,-682,1022,right
17.161,-730,990,right
17.234,-774,940,right
17.376,-774,940,right
17.741,-717,905,right
17.873,-731,814,right
17.950,-742,774,right
18.074,-758,706,right
18.157,-760,684,right
18.273,-764,661,right
18.372,-770,590,right
18.512,-835,381,right
