z,y,x,button
1.349,-1107,856,left
1.452,-1106,856,left
8.296,-679,1415,right
8.389,-667,1378,right
8.489,-667,1353,right
8.570,-700,1333,right
8.680,-674,1296,right
8.793,-600,1122,right
8.882,-577,1104,right
8.989,-641,1084,right
9.632,-1235,1315,left
9.732,-1235,1315,left
11.570,-231,192,right
11.659,-230,192,right
12.647,-229,275,right
12.725,-229,275,right
12.831,-229,275,right
12.892,-229,275,right
13.554,-234,339,right
13.661,-233,339,right
14.650,-368,1214,right
14.720,-352,1225,right
14.820,-314,1408,right
14.916,-307,1450,right
14.988,-285,1584,right
15.114,-272,1637,right
15.531,-245,2034,right
15.619,-349,1998,right
15.718,-358,1887,right
15.815,-369,1852,right
16.490,-595,1501,right
16.583,-583,1508,right
16.679,-575,1534,right
16.791,-575,1533,right
17.434,-506,1615,right
17.528,-506,1614,right
18.019,-512,1638,right
18.114,-521,1628,right
18.253,-519,1620,right
18.352,-519,1619,right
19.213,-577,1728,right
19.314,-570,1734,right
19.418,-590,1720,right
19.522,-615,1704,right
20.063,-829,1786,right
20.180,-798,1773,right
20.279,-813,1799,right
20.393,-820,1820,right
20.677,-747,1925,right
20.782,-747,1925,right
20.893,-659,1952,right
21.011,-557,1966,right
21.464,-482,1685,right
21.569,-488,1684,right
21.669,-495,1693,right
21.780,-502,1691,right
22.868,-703,1498,right
22.961,-702,1498,right
23.054,-709,1493,right
23.135,-709,1495,right
30.500,-337,1495,right
30.611,-336,1495,right
31.287,-368,1476,right
31.364,-368,1476,right
31.539,-375,1550,right
31.644,-374,1550,right
32.122,-379,1571,right
32.238,-380,1572,right
33.416,-512,1101,right
33.523,-511,1102,right
33.730,-596,1081,right
33.819,-603,1077,right
34.162,-514,1248,right
34.258,-514,1250,right
35.053,-548,1030,right
35.140,-557,1006,right
37.139,-1232,1948,right
37.243,-1232,1948,right
41.373,-390,1323,right
41.481,-390,1323,right
41.577,-406,1368,right
41.682,-413,1378,right
41.783,-450,1405,right
41.882,-459,1424,right
42.488,-669,1418,right
42.562,-669,1418,right
42.662,-705,1408,right
42.767,-719,1410,right
42.870,-783,1411,right
42.986,-849,1406,right
43.113,-848,1439,right
43.172,-634,1681,right
44.269,-1155,1317,left
44.745,-1158,1384,left
45.336,-824,1131,right
45.409,-810,1110,right
45.518,-829,1060,right
45.620,-830,1015,right
45.719,-673,1067,right
45.836,-672,1061,right
46.100,-605,1251,right
46.235,-558,1277,right
46.330,-515,1308,right
46.435,-533,1312,right
46.532,-625,1170,right
46.684,-740,1126,right
46.746,-762,1127,right
46.882,-771,1118,right
46.970,-728,1114,right
47.084,-748,1046,right
47.183,-762,1011,right
47.288,-747,952,right
47.371,-689,804,right
47.483,-700,692,right
47.565,-710,599,right
47.706,-714,480,right
48.242,-648,514,right
48.333,-666,511,right
48.446,-689,520,right
48.546,-687,521,right
48.823,-633,519,right
48.959,-611,520,right
49.108,-642,547,right
49.216,-668,559,right
49.351,-646,655,right
49.460,-643,665,right
49.577,-644,665,right
49.682,-647,669,right
50.378,-553,704,right
50.489,-534,710,right
50.598,-529,730,right
50.702,-574,734,right
50.815,-701,868,right
50.919,-720,884,right
51.029,-726,912,right
51.133,-732,921,right
51.224,-756,1006,right
51.339,-766,1021,right
51.467,-721,1026,right
51.559,-719,1026,right
51.671,-624,869,right
51.789,-629,838,right
51.904,-689,955,right
52.034,-723,990,right
52.121,-715,776,right
52.253,-726,701,right
52.371,-707,783,right
52.488,-644,1061,right
52.575,-687,1255,right
52.690,-698,1258,right
52.833,-678,1239,right
52.943,-680,1234,right
53.323,-663,1360,right
53.379,-688,1279,right
53.507,-649,1051,right
53.602,-612,1080,right
53.693,-566,1260,right
53.821,-581,1277,right
53.955,-587,1252,right
54.057,-552,1207,right
54.152,-503,609,right
54.277,-435,769,right
54.376,-441,783,right
54.491,-397,845,right
54.566,-298,907,right
54.690,-301,870,right
54.784,-153,857,right
54.907,-108,880,right
55.349,-548,1099,right
55.438,-554,1082,right
