z,y,x,button
0.124,-799,1012,right
0.243,-888,919,right
0.345,-862,891,right
0.432,-865,894,right
0.541,-870,897,right
0.631,-870,897,right
1.242,-925,879,right
1.345,-926,876,right
3.095,-592,1363,right
3.179,-594,1305,right
3.283,-548,1179,right
3.362,-499,1061,right
3.457,-457,1069,right
3.552,-454,1082,right
3.688,-368,1517,right
3.803,-371,1516,right
5.449,-412,1466,right
5.557,-489,1064,right
5.636,-570,1008,right
5.774,-633,906,right
5.845,-644,866,right
5.996,-644,867,right
7.916,-991,1366,right
8.020,-998,1314,right
8.137,-999,1314,right
8.231,-986,1322,right
8.360,-875,1456,right
8.453,-872,1452,right
8.586,-838,1458,right
8.681,-832,1457,right
8.816,-763,1431,right
8.899,-761,1426,right
9.037,-756,1408,right
9.130,-750,1389,right
9.267,-742,1379,right
9.376,-706,1336,right
9.507,-654,1309,right
9.636,-642,1284,right
9.744,-599,1207,right
9.845,-577,1096,right
9.957,-576,1086,right
10.077,-574,1067,right
10.198,-564,1006,right
10.310,-548,955,right
10.446,-545,940,right
10.555,-544,940,right
10.826,-662,1566,right
10.909,-673,1598,right
11.032,-721,1628,right
11.143,-738,1617,right
11.496,-702,1423,right
11.558,-701,1423,right
11.749,-704,1413,right
11.853,-685,1350,right
11.956,-672,1185,right
12.075,-674,1167,right
12.560,-902,1615,right
12.658,-901,1615,right
12.766,-908,1622,right
12.885,-916,1616,right
13.106,-922,1612,right
13.147,-922,1612,right
13.299,-784,1698,right
13.414,-781,1686,right
13.575,-667,1441,right
13.692,-657,1343,right
13.817,-679,1284,right
13.914,-728,1200,right
14.023,-730,1195,right
14.117,-730,1194,right
14.942,-745,1347,right
15.035,-740,1343,right
15.136,-779,1449,right
15.225,-847,1519,right
16.254,-755,1329,right
16.373,-752,1320,right
16.484,-753,1320,right
16.590,-755,1311,right
16.715,-722,1269,right
16.822,-720,1224,right
16.920,-720,1220,right
17.031,-720,1218,right
17.152,-718,1199,right
17.258,-718,1193,right
18.109,-428,912,right
18.222,-420,679,right
18.321,-399,573,right
18.400,-377,520,right
18.502,-335,433,right
18.627,-296,85,right
19.231,-587,1089,right
19.348,-587,1088,right
19.466,-608,1050,right
19.572,-617,987,right
19.698,-621,975,right
19.815,-634,927,right
19.933,-650,888,right
20.042,-665,816,right
20.170,-715,749,right
20.281,-723,713,right
21.145,-916,513,right
21.276,-916,513,right
21.385,-927,514,right
21.457,-938,511,right
21.564,-955,465,right
21.639,-955,464,right
25.684,-1022,798,left
25.764,-1022,798,left
27.895,-1005,1145,left
27.984,-1005,1145,left
29.817,-21,1815,right
29.894,-17,1806,right
30.020,-346,1463,right
30.122,-520,1282,right
30.221,-618,1339,right
30.313,-561,1382,right
30.391,-522,1430,right
30.497,-517,1442,right
31.132,-575,1189,right
31.246,-609,1147,right
31.365,-613,1134,right
31.447,-612,1134,right
31.573,-611,1131,right
31.661,-609,1131,right
32.557,-576,1086,right
32.663,-584,1111,right
32.775,-615,1126,right
32.861,-616,1127,right
32.991,-688,1150,right
33.098,-703,1151,right
33.274,-702,1151,right
33.367,-674,1156,right
39.044,-541,1342,left
39.614,-640,1024,left
42.086,-904,759,right
42.183,-932,694,right
42.290,-949,678,right
42.401,-948,676,right
42.909,-762,773,right
43.032,-762,775,right
43.138,-790,754,right
43.258,-796,764,right
43.691,-594,883,right
43.803,-636,901,right
43.913,-647,909,right
44.006,-651,923,right
44.137,-756,967,right
44.277,-783,966,right
44.370,-802,929,right
44.508,-802,823,right
44.611,-776,728,right
44.717,-777,697,right
44.818,-774,682,right
45.142,-805,575,right
45.251,-805,566,right
45.340,-803,575,right
45.543,-695,870,right
45.667,-694,870,right
45.776,-659,899,right
45.887,-660,896,right
46.000,-629,903,right
46.149,-628,901,right
46.258,-627,901,right
46.396,-627,900,right
46.829,-638,823,right
46.942,-653,737,right
47.063,-571,722,right
47.164,-530,771,right
47.288,-470,1104,right
47.410,-467,1125,right
47.550,-302,1612,right
47.668,-293,1640,right
47.752,-286,1674,right
47.858,-334,1673,right
47.951,-347,1673,right
48.072,-406,1579,right
48.150,-404,1579,right
48.262,-404,1579,right
48.374,-407,1584,right
48.469,-407,1583,right
48.594,-366,1603,right
48.707,-365,1604,right
48.824,-369,1622,right
48.937,-369,1621,right
49.338,-357,1618,right
49.436,-357,1615,right
49.590,-353,1635,right
49.703,-355,1625,right
49.826,-365,1575,right
49.927,-371,1525,right
50.029,-449,1206,right
50.113,-490,1086,right
50.228,-502,1076,right
50.319,-518,1031,right
50.434,-551,998,right
50.524,-582,954,right
50.625,-601,951,right
50.726,-613,954,right
50.838,-631,1019,right
50.934,-636,1042,right
51.033,-668,1111,right
51.143,-687,1132,right
51.245,-713,1147,right
51.340,-743,1153,right
51.446,-764,1146,right
51.539,-772,1126,right
51.660,-782,1132,right
51.752,-787,1107,right
51.867,-788,1105,right
51.956,-788,1096,right
52.079,-666,1045,right
52.173,-639,1010,right
52.277,-504,948,right
52.369,-463,922,right
53.161,-762,828,right
53.260,-765,835,right
53.386,-756,820,right
53.478,-753,742,right
53.609,-635,967,right
53.719,-634,989,right
53.854,-561,1190,right
53.960,-571,1172,right
54.126,-577,1359,right
54.225,-596,1386,right
54.341,-608,1391,right
54.422,-650,1400,right
54.535,-649,1408,right
54.620,-651,1408,right
54.732,-654,1408,right
54.842,-661,1409,right
56.494,-705,757,right
56.598,-766,585,right
56.674,-792,578,right
56.786,-852,501,right
56.871,-920,477,right
56.984,-998,469,right
57.343,-954,542,right
57.447,-874,592,right
58.989,-476,970,right
59.111,-475,959,right
59.863,-468,1470,right
59.947,-477,1473,right
60.077,-493,1478,right
60.168,-485,1463,right
60.276,-485,1463,right
60.374,-485,1466,right
60.523,-486,1466,right
60.639,-486,1464,right
60.887,-487,1456,right
61.010,-488,1451,right
62.606,-378,1144,right
62.708,-417,1055,right
62.812,-420,1050,right
62.915,-419,1043,right
63.244,-332,939,right
63.346,-338,902,right
63.646,-369,847,right
63.768,-490,771,right
63.872,-601,820,right
63.978,-611,850,right
64.083,-652,1029,right
64.199,-661,1049,right
64.314,-645,1180,right
64.410,-645,1186,right
65.046,-564,1269,right
65.139,-703,1142,right
65.260,-706,1158,right
65.345,-705,1161,right
65.773,-381,1447,right
65.870,-384,1434,right
68.526,-664,1261,right
68.641,-693,1202,right
68.762,-729,1159,right
68.852,-754,1104,right
68.965,-768,1087,right
69.091,-777,1044,right
69.559,-507,1327,right
69.653,-516,1350,right
70.140,-326,1357,right
70.243,-325,1359,right
71.664,-746,944,right
71.804,-841,928,right
71.876,-850,936,right
72.024,-852,943,right
72.159,-852,942,right
72.301,-856,857,right
72.404,-837,788,right
72.521,-839,704,right
72.999,-291,1243,right
73.058,-291,1243,right
73.210,-319,1166,right
73.357,-328,1165,right
73.431,-340,1169,right
73.544,-340,1172,right
73.660,-340,1172,right
73.801,-344,1160,right
75.181,-355,1397,right
75.273,-355,1393,right
76.393,-558,1069,right
76.503,-698,947,right
76.594,-697,869,right
76.692,-703,840,right
76.798,-709,809,right
76.898,-718,768,right
77.017,-721,763,right
77.131,-728,728,right
77.232,-737,718,right
77.346,-750,692,right
77.479,-752,693,right
77.592,-752,692,right
77.699,-750,692,right
77.813,-749,691,right
77.927,-749,690,right
78.036,-748,682,right
78.145,-748,680,right
78.250,-759,636,right
78.348,-770,630,right
78.463,-796,594,right
78.599,-796,594,right
78.675,-796,590,right
79.581,-837,835,right
79.650,-838,836,right
79.792,-877,865,right
79.908,-823,888,right
80.003,-778,782,right
80.108,-797,676,right
80.218,-831,639,right
80.321,-887,520,right
80.948,-440,1123,right
81.050,-437,1127,right
81.192,-433,1141,right
81.306,-435,1130,right
81.445,-437,1130,right
81.555,-437,1131,right
83.224,-601,1126,right
83.324,-605,1135,right
83.455,-625,1131,right
83.553,-624,1139,right
83.662,-642,1228,right
83.774,-634,1239,right
84.819,-607,1275,right
84.907,-753,1219,right
85.001,-791,1233,right
85.098,-796,1230,right
85.185,-862,1223,right
85.305,-922,1222,right
85.397,-930,1212,right
85.502,-939,1125,right
85.600,-929,1004,right
85.711,-936,913,right
85.800,-933,832,right
85.916,-938,805,right
85.996,-943,790,right
86.130,-951,745,right
86.218,-967,710,right
86.325,-983,668,right
86.435,-986,658,right
86.543,-985,658,right
86.664,-986,659,right
86.792,-985,660,right
86.897,-984,659,right
87.017,-983,658,right
87.128,-983,658,right
87.241,-987,637,right
87.347,-987,633,right
87.458,-997,593,right
87.571,-998,591,right
87.687,-999,583,right
87.793,-1000,579,right
87.903,-1006,559,right
88.012,-1010,552,right
88.112,-1015,532,right
88.238,-1017,516,right
88.384,-1021,469,right
88.530,-1016,445,right
88.655,-1012,355,right
89.030,-872,799,right
89.143,-863,819,right
89.245,-863,817,right
89.358,-870,787,right
89.963,-684,1177,right
90.050,-662,1179,right
90.222,-591,1178,right
90.336,-570,1181,right
90.442,-576,1239,right
90.560,-582,1248,right
90.662,-582,1248,right
90.779,-585,1231,right
90.948,-586,1230,right
91.084,-589,1206,right
93.247,-510,1095,right
93.363,-495,1081,right
93.464,-494,1077,right
93.563,-496,1069,right
94.552,-1089,877,left
94.626,-1089,877,left
94.973,-765,1116,right
95.071,-765,1117,right
95.180,-766,1119,right
95.288,-760,1115,right
95.424,-681,1130,right
95.534,-677,1126,right
95.652,-629,1158,right
95.743,-616,1162,right
96.650,-180,1133,right
96.792,-661,759,right
96.892,-711,721,right
97.001,-830,641,right
97.647,-695,531,right
97.735,-676,539,right
97.854,-694,504,right
97.964,-697,480,right
98.082,-697,475,right
98.192,-703,440,right
98.435,-376,916,right
98.544,-409,939,right
98.646,-418,984,right
98.741,-419,988,right
98.855,-433,1005,right
98.965,-443,1021,right
99.122,-498,1104,right
99.221,-499,1107,right
99.341,-501,1188,right
99.443,-528,1181,right
100.591,-429,746,right
100.695,-511,489,right
100.795,-525,480,right
100.905,-535,474,right
101.278,-702,708,right
101.378,-681,782,right
101.492,-704,1184,right
101.579,-693,1191,right
101.690,-582,1276,right
101.778,-560,1284,right
101.888,-544,1312,right
101.985,-544,1312,right
102.148,-536,1297,right
102.235,-536,1297,right
102.930,-409,1368,right
103.024,-404,1379,right
103.760,-612,1077,right
103.858,-706,730,right
103.946,-776,523,right
104.054,-874,434,right
104.992,-905,972,right
105.069,-903,972,right
105.215,-800,923,right
105.332,-802,908,right
105.490,-964,1067,right
105.533,-958,1078,right
105.659,-808,1259,right
105.768,-801,1265,right
105.920,-617,1520,right
106.008,-539,1588,right
106.110,-481,1737,right
106.225,-479,1746,right
107.245,-759,1135,right
107.343,-865,1017,right
107.451,-905,939,right
107.550,-905,934,right
107.650,-905,934,right
107.794,-909,922,right
108.210,-702,1113,right
108.338,-707,1024,right
108.430,-745,972,right
108.537,-799,934,right
108.654,-880,955,right
108.760,-955,945,right
108.873,-992,951,right
108.982,-991,968,right
109.123,-879,1356,right
109.223,-817,1385,right
109.314,-709,1582,right
109.406,-709,1585,right
110.753,-652,1065,right
110.850,-673,1038,right
110.948,-773,938,right
111.048,-835,839,right
111.145,-888,800,right
111.246,-882,803,right
112.008,-899,938,right
112.116,-978,893,right
112.223,-982,911,right
112.319,-1134,798,right
112.630,-779,1166,right
112.740,-788,1202,right
112.817,-838,1275,right
112.925,-865,1266,right
113.033,-892,1261,right
113.150,-930,1271,right
114.084,-515,1125,right
114.208,-740,897,right
114.312,-786,825,right
114.432,-808,731,right
114.548,-819,692,right
114.679,-826,649,right
114.825,-847,630,right
114.943,-848,627,right
115.068,-849,628,right
115.159,-855,627,right
115.354,-888,1072,right
115.462,-892,1055,right
115.562,-892,1082,right
115.654,-856,1112,right
116.834,-383,1446,right
116.952,-413,1436,right
117.064,-420,1444,right
117.162,-420,1443,right
117.254,-409,1433,right
117.358,-408,1425,right
117.458,-398,1430,right
117.544,-410,1432,right
117.688,-412,1435,right
117.780,-411,1435,right
117.944,-413,1438,right
118.003,-413,1438,right
119.509,-443,1276,right
119.626,-628,790,right
119.721,-642,788,right
119.831,-641,802,right
120.006,-521,1072,right
120.129,-512,1076,right
120.221,-544,1004,right
120.331,-548,1001,right
120.437,-589,973,right
120.546,-604,940,right
122.532,-562,941,right
122.656,-702,654,right
122.743,-725,640,right
122.854,-776,620,right
123.232,-725,1082,right
123.354,-730,1090,right
123.414,-836,1006,right
123.551,-910,973,right
123.647,-896,1061,right
123.748,-879,1107,right
124.744,-1079,975,left
124.834,-1079,975,left
125.051,-1087,959,left
125.129,-1087,957,left
125.892,-537,1257,right
126.007,-656,1065,right
126.094,-739,911,right
126.200,-777,825,right
126.365,-787,805,right
126.496,-789,793,right
127.010,-463,1456,right
127.094,-613,1463,right
127.210,-613,1471,right
127.285,-635,1457,right
127.429,-603,1539,right
127.495,-638,1431,right
127.596,-758,1029,right
127.699,-809,892,right
127.765,-799,755,right
127.886,-794,728,right
127.969,-792,744,right
128.088,-809,776,right
128.254,-808,1149,right
128.405,-837,1155,right
128.501,-799,1290,right
128.609,-797,1315,right
128.711,-743,1488,right
128.820,-686,1499,right
130.158,-725,1118,right
130.255,-896,700,right
130.333,-908,678,right
130.462,-909,676,right
130.560,-910,676,right
130.668,-914,671,right
130.788,-887,704,right
130.909,-864,731,right
131.021,-874,735,right
131.114,-874,735,right
131.366,-550,1061,right
131.466,-534,1077,right
131.575,-453,1156,right
131.674,-442,1162,right
131.802,-397,1231,right
131.899,-393,1246,right
133.430,-358,1139,right
133.531,-583,679,right
133.613,-686,626,right
133.728,-700,653,right
133.827,-689,785,right
133.937,-692,799,right
135.270,-366,1544,right
135.403,-634,972,right
135.497,-653,917,right
135.628,-668,865,right
136.006,-626,1171,right
136.113,-652,1169,right
136.207,-664,1201,right
136.314,-660,1204,right
136.909,-628,1099,right
137.012,-715,1080,right
137.097,-757,1080,right
137.189,-751,1088,right
137.315,-836,1296,right
137.379,-868,1147,right
137.522,-648,1120,right
137.623,-630,1119,right
137.731,-587,1132,right
137.820,-586,1132,right
138.716,-565,1055,right
138.846,-816,859,right
138.923,-877,853,right
139.057,-924,881,right
139.165,-951,1076,right
139.267,-966,1096,right
139.390,-806,1330,right
139.515,-796,1325,right
139.850,-409,1438,right
139.962,-409,1437,right
140.493,-393,1488,right
140.598,-540,969,right
140.678,-670,784,right
140.778,-858,632,right
140.878,-885,625,right
140.980,-971,619,right
141.071,-1007,604,right
141.191,-1024,594,right
141.286,-1020,581,right
141.422,-1022,581,right
141.886,-986,655,right
141.988,-986,656,right
142.139,-994,654,right
142.243,-992,645,right
142.899,-917,745,right
142.987,-917,742,right
143.102,-918,743,right
143.188,-919,752,right
143.703,-893,939,right
143.770,-892,946,right
143.907,-900,950,right
143.987,-911,931,right
144.152,-875,855,right
144.271,-851,578,right
144.391,-881,488,right
144.490,-875,501,right
144.619,-781,590,right
144.705,-731,612,right
144.849,-604,754,right
144.948,-596,768,right
145.054,-582,814,right
145.163,-590,816,right
145.266,-523,913,right
145.351,-482,965,right
146.259,-332,1328,right
146.367,-583,809,right
146.462,-699,638,right
146.569,-867,496,right
147.415,-789,588,right
147.524,-834,583,right
147.638,-879,628,right
147.738,-885,643,right
147.838,-907,768,right
147.941,-893,820,right
148.192,-755,1408,right
148.315,-753,1407,right
148.412,-723,1408,right
148.503,-722,1408,right
148.617,-720,1421,right
148.691,-720,1422,right
149.644,-578,1459,right
149.742,-647,1090,right
149.858,-653,1074,right
149.964,-698,933,right
150.381,-515,1050,right
150.539,-699,758,right
150.637,-742,727,right
150.747,-797,630,right
150.845,-806,626,right
150.941,-770,725,right
152.628,-606,1502,right
152.723,-674,1070,right
152.839,-710,859,right
152.930,-742,701,right
153.075,-763,729,right
153.197,-815,751,right
153.339,-897,812,right
153.427,-901,815,right
155.494,-796,922,right
155.583,-916,752,right
155.684,-919,717,right
155.765,-936,676,right
155.879,-948,670,right
155.981,-971,621,right
156.091,-994,528,right
156.179,-1009,452,right
156.294,-1009,412,right
156.387,-1059,298,right
156.710,-850,830,right
156.803,-849,832,right
156.916,-849,833,right
157.019,-847,835,right
157.154,-787,974,right
157.247,-663,1033,right
157.348,-459,1204,right
157.449,-458,1209,right
157.567,-354,1416,right
157.656,-348,1435,right
157.801,-248,1570,right
157.878,-230,1601,right
158.170,-154,1615,right
158.281,-153,1615,right
158.390,-188,1608,right
158.507,-361,1164,right
158.596,-457,924,right
158.712,-656,769,right
159.489,-452,724,right
159.597,-447,722,right
159.707,-446,670,right
159.802,-434,669,right
160.108,-692,966,right
160.218,-732,1037,right
160.312,-747,1109,right
160.412,-763,1112,right
160.513,-684,1249,right
160.623,-685,1253,right
160.736,-739,1287,right
160.843,-760,1297,right
160.955,-768,1306,right
161.051,-723,1329,right
161.394,-194,1520,right
161.520,-194,1519,right
162.085,-297,1380,right
162.180,-516,951,right
162.281,-638,687,right
162.396,-682,590,right
162.511,-679,583,right
162.654,-678,583,right
163.039,-668,564,right
163.119,-690,559,right
163.213,-737,572,right
163.330,-839,568,right
163.443,-866,584,right
163.557,-898,618,right
163.785,-494,1250,right
163.889,-478,1277,right
164.005,-376,1461,right
164.101,-348,1474,right
164.430,-212,1637,right
164.639,-302,1535,right
164.750,-402,1270,right
164.849,-659,696,right
164.945,-757,585,right
165.047,-806,564,right
165.149,-822,555,right
165.253,-837,552,right
165.368,-829,568,right
165.470,-828,567,right
165.943,-771,749,right
166.008,-774,738,right
166.143,-709,769,right
166.249,-636,772,right
166.360,-818,716,right
166.473,-865,682,right
166.591,-875,860,right
166.688,-874,866,right
167.507,-707,864,right
167.604,-767,666,right
167.742,-716,613,right
167.832,-514,687,right
167.935,-376,1066,right
168.024,-471,1140,right
168.749,-435,1307,right
168.860,-668,859,right
168.944,-740,776,right
169.045,-844,654,right
169.598,-843,547,right
169.694,-842,551,right
169.824,-843,549,right
169.914,-838,552,right
170.019,-872,499,right
170.101,-875,491,right
170.795,-1108,778,left
170.884,-1107,778,left
171.119,-984,837,right
171.212,-968,841,right
171.310,-915,871,right
171.415,-925,878,right
171.533,-715,1030,right
171.638,-685,1061,right
171.740,-635,1129,right
171.849,-632,1134,right
173.237,-646,1012,right
173.344,-685,838,right
173.427,-758,734,right
173.528,-772,688,right
173.641,-752,662,right
173.737,-710,648,right
174.496,-256,1210,right
174.596,-532,740,right
174.698,-620,496,right
174.809,-691,350,right
175.492,-726,364,right
175.620,-731,360,right
175.745,-749,355,right
175.860,-721,370,right
176.684,-710,697,right
176.768,-718,699,right
176.870,-741,749,right
176.962,-750,748,right
177.057,-716,780,right
177.158,-696,820,right
178.400,-664,926,right
178.511,-762,551,right
178.621,-779,535,right
178.716,-811,531,right
179.363,-815,527,right
179.449,-827,536,right
179.558,-952,669,right
179.647,-960,697,right
179.756,-891,975,right
179.833,-795,1011,right
180.923,-582,927,right
181.016,-714,602,right
181.116,-719,589,right
181.226,-749,562,right
181.785,-439,939,right
181.908,-456,1002,right
182.730,-616,680,right
182.835,-727,526,right
183.273,-803,802,right
183.370,-798,822,right
183.485,-699,885,right
183.578,-650,898,right
184.910,-728,739,right
185.005,-847,671,right
185.130,-1010,672,right
185.204,-1113,657,right
185.742,-831,904,right
185.839,-863,913,right
185.951,-938,1092,right
186.063,-927,1104,right
186.168,-880,1204,right
186.263,-880,1202,right
186.721,-608,1246,right
186.803,-593,1259,right
186.965,-433,1437,right
187.036,-351,1498,right
188.143,-553,1009,right
188.272,-585,947,right
188.467,-586,945,right
188.596,-586,945,right
189.078,-367,1316,right
189.208,-436,1279,right
189.316,-424,1381,right
189.399,-424,1379,right
190.675,-466,1163,right
190.765,-595,999,right
190.866,-598,995,right
190.956,-598,995,right
191.493,-701,1120,right
191.597,-782,1118,right
191.699,-797,1123,right
191.780,-795,1123,right
191.914,-651,1106,right
192.008,-653,1115,right
192.615,-530,1016,right
192.716,-629,891,right
192.812,-741,838,right
192.923,-790,889,right
193.002,-849,843,right
193.098,-941,736,right
193.199,-960,728,right
193.305,-1008,695,right
193.414,-1019,686,right
193.544,-1279,385,right
193.780,-912,873,right
193.861,-912,875,right
193.974,-909,933,right
194.074,-909,939,right
194.190,-906,964,right
194.296,-907,968,right
194.802,-648,1393,right
194.900,-538,1426,right
195.102,-235,1663,right
195.201,-235,1663,right
195.882,-355,1376,right
195.977,-551,987,right
196.081,-604,918,right
196.190,-650,853,right
196.325,-723,764,right
196.437,-725,750,right
197.053,-737,688,right
197.117,-738,689,right
197.243,-792,809,right
197.346,-813,822,right
199.517,-639,1116,right
199.625,-716,915,right
199.723,-775,844,right
199.829,-875,699,right
199.918,-878,686,right
200.055,-858,562,right
200.207,-791,408,right
200.336,-790,408,right
200.846,-616,520,right
