27.87888 - 933,583 - Button.right
27.96517 - 976,568 - Button.right
28.10078 - 1518,443 - Button.right
28.23614 - 1560,430 - Button.right
28.31191 - 1636,362 - Button.right
28.44576 - 1650,365 - Button.right
29.54877 - 1409,468 - Button.right
29.63055 - 1409,466 - Button.right
29.74430 - 1365,434 - Button.right
29.84244 - 1260,436 - Button.right
29.97441 - 1220,469 - Button.right
30.05816 - 1094,553 - Button.right
30.42696 - 626,815 - Button.right
30.55888 - 626,820 - Button.right
30.68827 - 625,821 - Button.right
30.78893 - 625,821 - Button.right
31.36180 - 1181,539 - Button.right
31.46452 - 1329,456 - Button.right
31.57558 - 1353,575 - Button.right
31.68714 - 1360,593 - Button.right
31.78152 - 1495,587 - Button.right
31.91061 - 1496,587 - Button.right
32.31412 - 1013,593 - Button.right
32.45207 - 1016,619 - Button.right
32.54412 - 1060,663 - Button.right
32.66689 - 1077,680 - Button.right
32.79060 - 1142,671 - Button.right
32.85287 - 1159,652 - Button.right
32.94324 - 1281,575 - Button.right
33.09699 - 1263,601 - Button.right
33.43301 - 1498,474 - Button.right
33.55695 - 1610,348 - Button.right
33.65755 - 1674,267 - Button.right
33.78877 - 1869,0 - Button.right
34.60997 - 1329,498 - Button.right
34.72007 - 1320,520 - Button.right
34.82970 - 1227,613 - Button.right
34.94229 - 1190,640 - Button.right
35.01531 - 1184,611 - Button.right
35.13296 - 1213,610 - Button.right
35.27998 - 1857,232 - Button.right
35.40150 - 1891,229 - Button.right
35.51394 - 1855,250 - Button.right
35.62307 - 1719,333 - Button.right
35.70743 - 1696,243 - Button.right
35.81894 - 1503,298 - Button.right
35.91295 - 1412,260 - Button.right
36.03977 - 1233,350 - Button.right
36.15161 - 1259,540 - Button.right
36.25695 - 1237,585 - Button.right
36.51612 - 1317,370 - Button.right
36.63363 - 1279,366 - Button.right
36.76256 - 1231,202 - Button.right
36.86700 - 1242,211 - Button.right
36.95919 - 1284,203 - Button.right
37.08797 - 1122,303 - Button.right
37.19008 - 1016,377 - Button.right
37.31355 - 983,441 - Button.right
37.39584 - 1040,524 - Button.right
37.53232 - 913,679 - Button.right
37.61627 - 880,690 - Button.right
37.77088 - 750,758 - Button.right
37.84767 - 739,755 - Button.right
37.97819 - 736,755 - Button.right
38.07276 - 737,755 - Button.right
