0.75200-949,1054-513
9.52300-1289,537-513
33.94200-121,1-513
36.07900-951,157-513
42.75100-929,217-513
50.19300-818,603-513
51.48600-824,655-513
65.50200-971,1076-513
67.19000-901,924-513
68.11900-1214,1063-513
70.09900-400,227-516
70.61400-348,220-516
70.84100-346,220-516
71.79000-345,219-516
72.43300-459,227-516
76.39600-1893,979-516
76.90600-1891,975-516
83.98400-1877,979-516
88.49000-1205,614-516
101.83000-1405,812-516
103.16400-1348,780-516
103.90900-1297,776-516
104.34800-1261,772-516
104.75800-1234,773-516
109.56000-1395,777-516
136.19400-1320,576-516
136.77800-1301,501-516
137.22300-1281,455-516
138.01700-1274,451-516
142.89000-1000,508-516
143.98100-1034,607-516
145.81600-1203,403-516
146.59000-1203,403-513
147.58100-1206,407-516
151.64100-1127,781-516
151.86200-1122,777-516
152.06400-1119,776-516
152.24000-1124,783-516
152.40200-1119,789-516
152.57300-1117,795-516
152.90000-1121,818-516
153.10300-1132,859-516
153.51800-1305,905-516
153.69400-1332,895-516
153.90600-1382,903-516
154.10400-1392,902-516
154.30700-1396,903-516
154.88800-1482,823-516
155.07000-1531,846-516
155.25700-1542,888-516
156.07200-1454,824-516
156.96600-1546,702-516
157.74800-1568,688-516
158.96800-1393,587-516
160.24000-1417,644-516
161.26400-1524,631-516
161.88500-1437,636-516
162.07700-1454,686-516
162.76800-1350,504-516
162.95300-1349,508-516
164.28100-1124,752-513
165.20900-1416,362-516
165.40900-1403,327-516
165.64000-1442,321-516
166.34800-1421,213-516
168.88700-1382,183-516
169.30500-1318,189-516
169.93100-1162,124-516
170.33400-1276,226-516
170.55600-1321,261-516
170.80700-1367,324-516
171.01500-1386,353-516
171.34700-1409,360-516
171.79500-1254,209-516
171.99600-1261,208-516
173.54300-1372,258-516
173.76300-1435,187-516
174.02300-1432,126-516
174.44500-1461,251-516
174.87500-1477,342-516
177.77300-1525,348-516
177.99300-1530,355-516
178.23000-1579,311-516
178.48400-1574,313-516
178.73400-1569,277-516
178.96900-1583,250-516
179.14300-1610,229-516
179.35300-1612,209-516
180.15400-1548,268-516
180.32400-1589,295-516
180.85200-1649,273-516
181.04300-1634,221-516
181.66400-1544,375-516
181.87200-1512,374-516
182.34800-1489,367-516
182.58100-1511,406-516
182.89400-1500,359-516
183.10800-1555,401-516
183.32000-1569,485-516
183.49100-1560,492-516
183.70000-1528,560-516
183.89100-1530,592-516
185.10700-903,602-513
186.55100-1489,320-516
186.72400-1476,314-516
186.96000-1506,304-516
187.56900-1482,238-516
187.77100-1511,240-516
188.38600-1543,331-516
188.58700-1611,344-516
188.88800-1670,346-516
189.25100-1465,319-516
189.48700-1424,314-516
189.69600-1553,302-516
189.90500-1647,307-516
190.19200-1678,347-516
190.66000-1654,458-516
191.00300-1520,368-516
191.23800-1516,344-516
191.46000-1526,293-516
191.64700-1585,285-516
191.86700-1673,295-516
192.12900-1681,300-516
193.33200-1274,420-516
193.54400-1303,436-516
193.81900-1235,509-516
194.02700-1344,467-516
194.53900-1349,498-516
194.74300-1175,392-516
194.97100-1028,413-516
195.35200-1144,526-516
195.58200-1164,587-516
195.80500-1116,640-516
196.02000-1098,662-516
196.24800-1087,663-516
196.46700-1096,570-516
196.68700-1056,487-516
196.93200-1048,480-516
197.16000-1095,475-516
197.38700-1115,504-516
197.65300-998,493-516
197.91000-957,504-516
198.27100-961,590-516
199.27000-1216,469-516
199.46100-1255,495-516
199.66800-1267,517-516
199.87000-1275,524-516
200.07600-1284,531-516
200.28800-1292,534-516
200.51200-1296,538-516
200.76500-1314,447-516
200.98500-1309,348-516
201.20700-1320,539-516
201.42500-1309,558-516
201.66000-1315,588-516
202.21600-977,614-516
202.47000-1270,536-516
202.68000-1253,551-516
202.90400-1235,537-516
203.16500-1213,526-516
204.08900-1244,506-516
204.32600-1246,511-516
206.30300-771,932-513
207.85000-1057,466-516
208.07900-1071,465-516
208.30700-1022,533-516
208.49600-1085,550-516
208.72200-1077,584-516
208.94600-937,584-516
209.49600-826,513-516
209.84800-1123,460-516
210.01600-1157,475-516
210.23000-1127,488-516
210.49000-1112,499-516
210.66700-1163,483-516
210.89000-1199,463-516
211.09100-1241,484-516
211.30700-1284,436-516
211.52100-1304,368-516
211.74400-1304,338-516
212.12000-1323,241-516
212.86800-1314,216-516
213.96700-1565,419-516
214.17800-1509,411-516
214.40800-1504,387-516
214.63200-1473,395-516
214.86800-1421,416-516
215.36700-942,595-513
216.27300-1658,333-516
216.67600-1390,420-516
216.87100-1398,491-516
217.13900-1425,493-516
217.32600-1438,477-516
217.54400-1472,379-516
217.76400-1508,369-516
218.07100-1587,320-516
218.73000-1446,388-516
218.95800-1402,397-516
219.47900-1386,306-513
219.83400-1536,244-516
220.00500-1754,244-516
220.17800-1752,329-516
220.37400-1772,338-516
220.61400-1757,312-516
221.16300-1732,185-516
221.38800-1570,280-516
221.73100-1490,312-516
221.94000-1359,410-516
222.16300-1229,503-516
222.34500-1185,464-516
222.56400-1195,440-516
222.77900-1196,428-516
222.99900-1118,503-516
223.22000-1091,521-516
223.44900-1103,568-516
224.39500-852,825-516
226.42200-1112,276-516
226.61300-1151,288-516
226.82800-1156,304-516
227.06700-1231,377-516
227.26800-1277,416-516
227.46700-1297,426-516
228.14700-1397,615-516
228.35500-1411,632-516
229.17700-1371,494-516
229.40600-1437,476-516
229.62800-1461,417-516
229.86400-1459,338-516
230.08500-1465,465-516
230.31800-1440,490-516
230.54500-1398,502-516
230.77600-1362,421-516
230.98400-1430,379-516
232.24300-1383,405-516
232.44600-1348,460-516
232.67100-1286,509-516
232.86800-1274,523-516
233.56700-1135,291-516
233.74900-1217,203-516
233.97800-1189,211-516
234.28000-1421,183-516
234.49800-1425,187-516
234.72900-1410,197-516
234.97300-1421,167-516
235.55400-936,334-513
237.21800-1461,298-516
237.42700-1457,313-516
237.63300-1449,320-516
237.88600-1512,287-516
238.11600-1492,305-516
238.36900-1469,283-516
238.97800-1348,243-513
239.70500-1539,422-516
239.91600-1549,502-516
240.42100-1582,533-516
240.78000-1595,316-516
241.01200-1580,296-516
241.64800-1632,244-516
241.81000-1697,294-516
242.31000-1511,257-516
242.53400-1445,292-516
242.76400-1477,405-516
242.95400-1513,458-516
243.16100-1540,505-516
243.92600-1376,616-516
244.15700-1389,601-516
244.43600-1444,585-516
244.65900-1460,504-516
244.87300-1564,423-516
245.07800-1552,355-516
245.32800-1517,352-516
245.55100-1486,326-516
245.81500-1482,347-516
246.01800-1564,353-516
246.51200-1520,259-516
246.76500-1533,187-516
246.96600-1442,163-516
247.17400-1408,166-516
248.13700-1574,232-516
248.37700-1648,222-516
248.61300-1672,281-516
248.84600-1678,297-516
249.11900-1620,202-516
249.36100-1560,226-516
249.88300-1536,227-516
250.10800-1530,201-516
250.37500-1503,191-516
250.61000-1459,191-516
250.85300-1353,189-516
251.11800-1268,198-516
251.54500-1172,216-516
251.78900-1339,225-516
252.05400-1482,242-516
252.26000-1484,242-516
252.48900-1493,322-516
252.95000-1702,279-516
253.19000-1627,316-516
253.41100-1567,357-516
253.64600-1549,410-516
253.87600-1600,366-516
254.10400-1585,229-516
254.36700-1568,223-516
254.60900-1565,241-516
254.86600-1541,230-516
255.09500-1468,220-516
255.37500-1453,218-516
256.03100-1522,329-516
256.28100-1527,357-516
256.49100-1535,360-516
256.71000-1553,309-516
257.20800-1516,382-516
257.41900-1514,402-516
257.67700-1535,396-516
258.25400-1498,466-516
258.47300-1452,508-516
258.82500-1489,441-516
259.06700-1493,435-516
259.32000-1514,373-516
259.55400-1486,359-516
259.88500-1423,294-516
260.15800-1411,228-516
260.36200-1531,89-516
260.56700-1560,108-516
260.79900-1586,130-516
261.92000-839,928-513
262.52300-1461,231-516
262.77900-1490,269-516
263.00900-1578,334-516
263.24600-1691,336-516
263.54900-1673,298-516
263.74800-1670,296-516
264.08500-1676,386-516
264.33800-1675,391-516
264.58600-1665,351-516
264.81500-1641,299-516
265.09900-1626,291-516
265.35900-1607,295-516
265.75300-1578,326-516
266.34900-1631,451-516
267.75400-1235,184-516
267.95900-1302,239-516
268.56400-1034,354-513
268.89100-1084,382-516
269.07300-1045,509-516
269.26600-1029,559-516
269.47200-1027,567-516
269.66700-1014,574-516
270.03400-957,710-513
271.31400-1330,205-516
271.52500-1236,254-516
271.73600-928,336-516
271.92200-903,337-516
272.12100-947,355-516
272.32900-957,364-516
272.51000-963,350-516
272.71000-954,350-516
273.02600-1232,217-516
273.25300-1208,202-516
273.48900-1120,171-516
273.73300-1063,193-516
273.95300-1093,166-516
274.17600-1053,171-516
274.39700-996,158-516
275.41400-1046,263-516
275.65000-935,311-516
275.83100-982,370-516
276.05900-1047,446-516
276.26300-1100,460-516
276.48700-1122,439-516
276.73800-1125,424-516
276.97100-1158,428-516
277.18800-1225,444-516
277.79600-1225,597-516
278.00200-1211,571-516
278.23500-1111,481-516
279.11300-1299,427-516
279.32200-1344,421-516
279.54000-1337,377-516
279.80500-1225,420-516
280.06400-1265,327-516
280.25800-1336,285-516
280.47000-1335,275-516
280.68400-1270,238-516
280.90800-1298,201-516
281.13400-1312,224-516
281.34300-1348,211-516
281.57500-1167,178-516
281.80500-1132,186-516
282.04500-1090,259-516
282.26700-1095,373-516
282.51500-1147,444-516
282.71300-1210,407-516
282.92700-1221,405-516
283.13300-1265,434-516
283.36500-1268,451-516
283.62700-1241,449-516
284.24200-1219,434-516
284.46900-1220,378-516
284.66800-1084,432-516
284.96800-1233,338-516
285.19300-1158,383-516
285.44200-1220,441-516
285.67500-1217,489-516
285.90500-1366,382-516
286.17200-1342,350-516
286.40500-1240,310-516
286.69900-1075,336-516
287.13400-1228,242-516
287.37800-1263,210-516
287.57600-1433,25-516
287.84000-1429,104-516
289.05300-1473,295-516
289.24700-1454,390-516
289.48400-1409,428-516
289.67900-1355,432-516
290.06400-1307,590-513
290.72800-1132,680-513
291.44800-1385,229-516
291.63200-1432,250-516
291.90400-1439,63-516
292.16400-1326,267-516
292.36100-1172,264-516
292.57500-1206,305-516
293.07000-1234,152-513
293.56100-1235,79-516
293.73000-1313,127-516
293.95400-1357,140-516
