z,y,x,button
2.873,-911,1224,right
2.959,-916,1198,right
3.059,-838,1243,right
3.167,-804,1197,right
3.265,-708,1035,right
3.375,-697,964,right
3.849,-514,576,right
3.939,-534,620,right
4.041,-555,746,right
4.143,-554,767,right
4.249,-506,954,right
4.359,-498,937,right
4.460,-498,926,right
4.571,-496,912,right
4.655,-471,872,right
4.767,-470,862,right
4.870,-442,888,right
4.976,-443,884,right
5.085,-445,883,right
5.171,-448,883,right
5.287,-442,972,right
5.401,-447,966,right
5.513,-448,984,right
5.623,-455,956,right
5.729,-454,948,right
5.830,-459,907,right
5.941,-451,903,right
6.062,-451,899,right
6.157,-449,903,right
6.270,-487,781,right
6.371,-481,771,right
6.477,-481,772,right
7.339,-612,1016,right
7.422,-612,1014,right
7.521,-644,996,right
7.628,-691,969,right
7.739,-693,967,right
7.852,-692,966,right
7.973,-693,966,right
8.086,-692,966,right
9.973,-931,2015,right
10.065,-930,2015,right
10.731,-1136,1901,right
10.847,-1135,1900,right
11.420,-1107,1884,right
11.534,-1107,1884,right
11.779,-1107,1885,left
11.898,-1107,1885,left
22.777,-465,972,right
22.886,-469,982,right
22.955,-509,997,right
23.067,-520,1001,right
23.167,-523,1001,right
23.266,-542,1009,right
23.353,-548,1014,right
23.461,-564,1020,right
23.546,-582,1062,right
23.670,-598,1057,right
23.925,-595,1073,right
23.950,-595,1073,right
24.055,-588,1098,right
24.157,-591,1113,right
24.261,-591,1114,right
24.374,-592,1114,right
24.478,-587,1150,right
24.595,-589,1157,right
24.715,-588,1169,right
24.814,-589,1172,right
24.927,-583,1190,right
25.031,-585,1195,right
25.153,-585,1203,right
25.258,-597,1165,right
25.370,-562,1139,right
25.483,-588,1046,right
25.568,-635,973,right
25.694,-734,899,right
25.757,-734,895,right
25.878,-736,891,right
25.979,-728,880,right
26.089,-730,888,right
26.308,-591,1100,right
26.351,-591,1101,right
26.464,-583,1175,right
26.564,-587,1184,right
26.666,-582,1239,right
26.791,-580,1207,right
26.878,-577,1200,right
26.992,-590,1176,right
27.104,-593,1190,right
27.207,-605,1147,right
27.306,-617,1159,right
27.412,-634,1174,right
27.517,-659,1226,right
27.615,-693,1145,right
27.714,-718,1048,right
27.842,-751,962,right
27.930,-765,895,right
28.058,-772,889,right
28.157,-775,888,right
28.292,-778,896,right
28.580,-669,951,right
28.672,-610,963,right
28.769,-541,1027,right
28.885,-514,1118,right
28.962,-512,1252,right
29.086,-518,1250,right
29.183,-463,1340,right
29.309,-467,1338,right
29.433,-467,1342,right
29.533,-497,1337,right
29.653,-525,1277,right
29.749,-521,1260,right
30.818,-1088,1032,left
30.894,-1088,1028,left
