z,y,x,button
0.749,-828,1560,right
0.869,-898,1633,right
0.983,-770,1574,right
1.085,-755,1568,right
1.270,-644,1525,right
1.334,-642,1522,right
1.451,-729,1585,right
1.567,-758,1560,right
1.666,-762,1567,right
1.767,-766,1515,right
2.094,-595,1134,right
2.193,-589,1167,right
2.281,-550,1089,right
2.382,-624,871,right
2.485,-560,854,right
2.582,-497,686,right
2.670,-379,450,right
2.768,-459,380,right
2.851,-323,504,right
2.968,-502,449,right
3.066,-603,512,right
3.174,-634,635,right
3.313,-272,1474,right
3.425,-280,1535,right
3.526,-294,1660,right
3.646,-458,1552,right
3.917,-190,1517,right
4.028,-204,1506,right
4.143,-208,1510,right
4.273,-228,1517,right
4.657,-387,1044,right
4.773,-358,1036,right
4.878,-302,1041,right
4.992,-300,1012,right
5.113,-281,1024,right
5.220,-250,1032,right
5.306,-231,1050,right
5.441,-254,1042,right
5.561,-260,1038,right
5.674,-268,996,right
5.791,-276,982,right
5.910,-281,947,right
6.010,-310,863,right
6.133,-341,807,right
6.241,-390,810,right
6.358,-477,734,right
6.456,-543,702,right
6.575,-655,632,right
6.665,-707,617,right
6.782,-759,601,right
6.855,-756,620,right
6.976,-746,643,right
7.106,-363,1195,right
7.205,-346,1277,right
7.309,-345,1365,right
7.429,-378,1406,right
7.521,-527,1738,right
7.647,-723,1683,right
7.746,-778,1681,right
7.876,-795,1683,right
7.989,-815,1757,right
8.127,-884,1717,right
8.240,-940,1713,right
8.363,-990,1639,right
8.450,-963,1405,right
8.581,-1065,1157,right
8.727,-1018,1105,right
8.837,-957,1065,right
8.890,-929,955,right
8.990,-967,791,right
9.102,-860,848,right
9.230,-847,726,right
9.334,-762,568,right
9.466,-756,541,right
9.561,-758,567,right
9.684,-789,651,right
10.290,-445,1262,right
10.407,-447,1241,right
10.530,-446,1242,right
10.638,-444,1215,right
11.298,-203,1283,right
11.435,-207,1284,right
11.516,-209,1304,right
11.638,-227,1299,right
11.736,-229,1299,right
11.865,-309,1220,right
12.007,-345,1071,right
12.127,-343,1071,right
12.215,-331,1052,right
12.311,-330,1052,right
12.556,-314,1259,right
12.650,-337,1265,right
12.758,-358,1239,right
12.868,-478,924,right
12.943,-514,874,right
13.082,-623,718,right
13.148,-677,689,right
13.287,-704,677,right
13.374,-710,709,right
13.512,-714,733,right
13.855,-613,915,right
13.961,-613,890,right
14.093,-522,901,right
14.203,-526,908,right
14.280,-536,921,right
14.417,-559,910,right
14.761,-599,857,right
14.893,-663,767,right
14.993,-674,759,right
15.103,-723,679,right
15.180,-723,674,right
15.315,-723,674,right
16.256,-1057,864,left
16.345,-1056,864,left
16.677,-1082,865,left
16.762,-1082,865,left
17.564,-679,836,right
17.689,-679,836,right
17.810,-679,836,right
17.917,-679,836,right
18.020,-679,836,right
18.147,-679,836,right
18.252,-679,836,right
18.387,-680,836,right
18.714,-696,866,right
18.807,-697,865,right
19.064,-716,871,right
19.175,-716,871,right
