270.09500-1109,337-516
270.31300-1178,294-516
270.55600-1243,329-516
270.79100-1258,338-516
271.00700-1270,359-516
271.23200-1288,372-516
271.65600-1364,414-516
271.91300-1388,406-516
272.12500-1407,399-516
272.34900-1409,380-516
272.58700-1426,343-516
272.80700-1419,336-516
273.03500-1404,295-516
273.27100-1336,287-516
273.50100-1313,300-516
273.74600-1323,326-516
273.99100-1338,327-516
274.25500-1344,327-516
274.52900-1344,323-516
274.74100-1326,277-516
274.96800-1298,267-516
275.19900-1270,260-516
275.44300-1243,260-516
275.66100-1215,263-516
275.92500-1131,318-516
276.11900-1072,299-516
276.33900-1001,347-516
276.67000-924,388-516
277.20700-1138,493-516
277.40800-1125,493-516
277.97800-1473,420-516
278.18800-1455,415-516
278.39800-1388,352-516
278.63200-1186,230-516
278.85600-1147,222-516
279.08900-1141,231-516
279.31400-1102,218-516
279.53800-1059,202-516
279.79700-1030,191-516
280.75200-1027,147-516
280.96800-973,174-516
281.17100-985,168-516
281.37300-1047,146-516
281.57000-1071,137-516
281.79600-1080,142-516
282.00700-1080,147-516
282.24800-1072,120-516
285.56900-979,205-516
285.78300-927,185-516
286.03200-905,191-516
286.26700-913,206-516
286.52100-912,220-516
286.73800-947,178-516
286.96600-990,163-516
287.19700-1010,153-516
287.42000-1061,132-516
287.65000-996,141-516
287.89700-979,149-516
288.11800-1000,149-516
288.55000-1159,112-516
288.77700-1176,116-516
289.00900-1191,123-516
289.23400-1048,92-516
289.47100-994,140-516
289.68800-989,159-516
289.90600-979,205-516
290.12300-977,262-516
290.33900-972,283-516
290.54500-965,303-516
290.79400-927,424-516
291.01900-948,458-516
291.23800-954,493-516
291.42700-955,498-516
291.59600-954,503-516
291.78300-955,506-516
292.29100-967,175-516
292.47600-969,152-516
292.66700-973,140-516
292.87900-976,123-516
293.11200-1000,132-516
293.32500-1112,154-516
293.52700-1158,139-516
294.00200-1337,103-516
294.66700-1514,231-516
294.87300-1510,253-516
295.14200-1450,277-516
296.34100-1211,220-516
296.57600-1183,203-516
296.79500-1116,200-516
296.99500-1138,158-516
297.22100-1131,154-516
298.12600-1128,145-516
298.36800-1159,186-516
298.57400-1173,187-516
298.82100-1191,178-516
299.05200-1134,185-516
299.27100-1114,191-516
299.49600-1114,191-516
300.02300-1091,324-516
300.23700-1210,343-516
300.47500-1174,331-516
300.68900-1180,310-516
301.01100-1101,298-516
301.22300-1060,307-516
301.97400-1310,328-516
302.17400-1347,371-516
302.39000-1370,397-516
302.79500-1371,436-516
303.59800-1352,558-516
303.79000-1328,518-516
303.98500-1413,232-516
304.16500-1391,155-516
307.57000-1277,382-516
307.75000-1271,382-516
307.94200-1284,306-516
308.16200-1290,297-516
308.37200-1290,295-516
309.20400-1288,301-516
309.43100-1302,310-516
309.65000-1325,324-516
309.84300-1339,215-516
310.06600-1276,155-516
310.30100-1234,129-516
310.51000-1217,125-516
310.75300-1199,130-516
311.00200-1171,168-516
311.23900-1137,184-516
311.81600-1237,190-516
312.04400-1256,191-516
312.24700-1277,175-516
312.46500-1307,188-516
312.66900-1319,156-516
312.87500-1351,318-516
313.07300-1292,433-516
313.24800-1307,470-516
313.44200-1323,495-516
314.73500-1126,805-513
315.43500-1241,292-516
315.61900-1223,237-516
315.80900-1204,221-516
316.03000-1164,206-516
316.80300-1245,253-516
316.99600-1344,281-516
317.20300-1342,271-516
317.57900-1350,263-516
317.80500-1329,248-516
318.02300-1221,249-516
318.24200-1167,268-516
318.49100-1147,283-516
318.73200-1178,294-516
318.93700-1302,302-516
319.15200-1305,304-516
319.38600-1325,313-516
319.62500-1317,321-516
319.87400-1300,325-516
320.12000-1290,296-516
320.32300-1264,205-516
320.56000-1179,225-516
320.78000-1163,262-516
321.00400-1136,301-516
321.20500-1238,349-516
321.42300-1297,374-516
321.63300-1344,337-516
321.87400-1356,317-516
322.08000-1248,167-516
322.30300-1200,162-516
322.97300-842,874-516
323.53400-834,925-513
323.83000-1153,237-516
324.02700-1158,217-516
324.20800-1174,221-516
324.42100-1198,233-516
324.93200-1406,329-516
325.11400-1425,309-516
325.31200-1428,309-516
326.01500-1415,279-516
326.21800-1255,263-516
326.43700-1171,256-516
326.65500-1007,205-516
326.91200-1040,179-516
327.13500-1088,137-516
327.36900-1125,135-516
327.61700-1149,97-516
327.82600-1087,107-516
328.06100-1018,168-516
328.27600-1163,185-516
328.49500-1350,299-516
328.74800-1397,334-516
328.99700-1397,322-516
329.24500-1397,316-516
329.44600-1348,401-516
329.67400-1268,427-516
329.91400-1251,379-516
330.49900-1394,353-516
330.69900-1395,387-516
330.90500-1405,392-516
331.13800-1421,452-516
331.35700-1406,533-516
331.56600-1417,567-516
331.84400-1427,591-516
332.04700-1412,625-516
332.28000-1367,638-516
332.49500-1289,646-516
332.72800-1189,618-516
333.00100-1288,467-516
333.19700-1369,455-516
333.39000-1448,450-516
334.29800-1373,201-516
334.74300-1365,168-516
334.96400-1351,177-516
335.19300-1339,198-516
335.37700-1410,249-516
335.58000-1419,281-516
335.79600-1414,337-516
336.01700-1403,351-516
336.21400-1305,201-516
336.42800-1211,222-516
336.83400-1092,239-516
337.47100-939,176-516
337.66800-931,183-516
337.90300-1196,211-516
338.11400-1290,298-516
338.34900-1308,308-516
338.58300-1323,324-516
338.81400-1344,348-516
339.11200-1399,392-516
339.36700-1404,400-516
339.60100-1372,387-516
339.81700-1254,329-516
340.04500-1227,336-516
340.27600-1167,313-516
340.51400-1296,324-516
340.73900-1388,345-516
340.95000-1410,352-516
341.35500-1233,286-516
341.59300-1217,291-516
341.81900-1179,282-516
342.05900-1145,270-516
342.27000-1106,243-516
342.48400-1079,216-516
342.70300-1056,169-516
342.93500-1016,149-516
343.24700-1184,199-516
343.49700-1319,291-516
343.69600-1359,302-516
343.91200-1350,316-516
344.14100-1355,353-516
344.37000-1335,371-516
344.59300-1337,363-516
344.82000-1346,371-516
345.06600-1295,362-516
345.31400-1356,327-516
345.52600-1371,295-516
345.76700-1370,292-516
346.01900-1330,288-516
346.24300-1239,241-516
346.46200-1167,202-516
346.69200-1151,156-516
346.92200-1102,107-516
347.15500-1075,94-516
347.37900-1062,120-516
347.60700-994,152-516
347.81500-968,151-516
348.53100-1006,259-516
348.76000-1028,275-516
348.96400-1125,331-516
349.19300-1210,393-516
349.41000-976,383-516
349.64000-934,442-516
349.85300-917,477-516
350.11300-914,497-516
350.56600-1050,557-516
350.75600-981,478-516
350.96600-864,398-516
351.19900-895,342-516
351.41600-921,339-516
351.63900-1064,357-516
351.85200-1104,397-516
352.07600-1108,407-516
352.30500-1050,430-516
352.52100-1007,465-516
355.36400-904,230-516
355.53500-899,231-516
355.73800-900,226-516
356.02700-915,193-516
356.23600-1045,194-516
356.42900-1087,218-516
356.63600-1028,297-516
356.81900-1043,358-516
356.99700-1064,301-516
357.25200-1106,269-516
357.48200-1120,268-516
357.68800-1130,269-516
357.90300-1169,312-516
358.15000-1166,306-516
358.36400-1251,312-516
358.60300-1289,332-516
358.82100-1357,352-516
359.03200-1167,341-516
359.25400-1208,355-516
359.46800-1320,369-516
359.69400-1352,419-516
359.94700-1341,418-516
360.12200-1095,398-516
360.35000-1123,369-516
360.56500-1112,361-516
360.89300-1084,326-516
361.02500-1076,326-516
361.22000-1066,336-516
361.44300-1051,359-516
364.43100-1082,417-516
364.70200-1089,410-516
364.94500-1035,382-516
365.14400-1027,357-516
365.33200-1030,351-516
365.57300-1011,377-516
365.80300-983,386-516
366.02400-899,388-516
366.42200-908,304-516
366.61800-902,294-516
366.83400-977,341-516
367.02400-1018,359-516
367.26700-1034,366-516
367.49600-1095,377-516
367.71500-1151,378-516
367.94300-1201,371-516
368.19600-1120,319-516
368.40000-1048,300-516
368.66800-1061,310-516
368.89200-994,303-516
372.09500-1010,319-516
372.28000-1067,379-516
372.48000-1040,419-516
372.70500-933,432-516
372.90400-913,398-516
373.21300-904,440-516
373.41700-893,430-516
374.01800-940,395-516
374.21100-990,380-516
374.40100-1020,358-516
374.62600-1029,361-516
375.22100-1158,329-516
375.43300-1111,288-516
375.65100-1034,257-516
375.86100-999,243-516
376.07500-973,262-516
376.28200-1035,294-516
376.49100-1142,309-516
376.70100-1144,308-516
376.94600-1097,308-516
377.19000-1046,312-516
377.38400-1041,294-516
377.62200-1039,295-516
377.83700-1039,294-516
378.06500-1005,291-516
378.31900-935,265-516
378.61100-952,266-516
378.81100-1151,262-516
379.04000-1174,296-516
379.25800-1155,351-516
379.47100-1176,379-516
379.69200-1179,376-516
379.90400-1201,360-516
380.11900-1193,330-516
380.35900-1162,359-516
380.56700-1226,454-516
380.94200-1197,705-513
381.56400-1138,299-516
381.75900-1103,261-516
381.94600-1061,255-516
382.14900-1073,241-516
382.56800-1175,188-516
382.80100-1156,212-516
383.00300-1129,168-516
383.20500-1080,131-516
384.54200-1135,388-516
384.75200-1016,421-516
384.93000-1030,444-516
385.14800-1021,441-516
386.47400-1078,288-516
386.66800-1091,306-516
386.88500-1223,430-516
387.11400-1287,399-516
387.32900-1330,379-516
387.56200-1252,364-516
387.77700-1100,370-516
387.97800-1113,354-516
388.20600-1107,346-516
388.42700-1078,366-516
388.63600-1014,322-516
388.87300-1000,290-516
389.12700-969,282-516
389.37700-987,211-516
389.56700-1167,242-516
389.77200-1221,373-516
389.98700-1226,448-516
390.19800-1263,452-516
390.46000-1268,451-516
391.22700-1223,452-516
391.42100-1331,408-516
391.64300-1331,382-516
392.32800-1276,281-516
392.55500-1213,277-516
392.81400-1091,321-516
393.08100-1255,300-516
393.30100-1266,357-516
393.49300-1237,329-516
393.71600-1141,352-516
394.70100-754,927-513
395.10600-1317,373-516
395.31500-1306,389-516
395.54700-1300,393-516
395.80400-1245,334-516
396.01600-1129,323-516
396.23000-1136,324-516
397.17900-1219,325-516
397.38300-1246,282-516
397.71700-1284,261-516
397.91300-1292,267-516
398.18700-1308,258-516
398.39900-1278,186-516
398.63300-1276,190-516
398.88300-1230,162-516
399.13300-1225,173-516
399.38900-1276,189-516
399.59900-1312,217-516
399.83200-1371,200-516
400.05100-1321,152-516
400.30500-1233,152-516
400.51200-1234,150-516
400.74700-1224,198-516
400.94000-1303,215-516
401.17600-1324,223-516
401.41000-1320,218-516
401.69900-1277,197-516
401.90800-1209,192-516
403.01300-1276,347-516
403.21500-1277,307-516
403.43100-1262,311-516
403.65000-1234,306-516
403.88000-1172,282-516
404.12000-1140,270-516
404.34200-1165,245-516
404.58200-1088,268-516
404.81900-1056,279-516
405.04900-1060,283-516
405.52500-1024,278-516
405.75600-982,287-516
406.16900-1119,323-516
406.38100-1185,351-516
406.58400-1213,358-516
407.03700-1175,385-516
407.27500-1179,390-516
407.51000-1134,411-516
407.71400-1072,382-516
407.95100-1092,384-516
408.31700-1390,459-516
408.69600-1105,545-516
408.91300-962,604-516
409.24600-801,652-513
410.63500-898,553-516
410.80800-892,563-516
411.14700-1024,460-516
411.32300-1038,455-516
411.50900-1066,449-516
411.69900-1082,477-516
411.89100-1033,465-516
412.24100-1113,428-516
412.46600-1176,349-516
412.69100-1188,330-516
412.92600-1198,288-516
413.15900-1197,187-516
413.37700-1051,187-516
413.83500-1051,176-513
414.34700-1070,265-516
414.53800-1066,233-516
414.75800-1066,199-516
414.98800-1069,174-516
415.21200-1083,108-516
415.46800-1092,47-516
415.62100-977,134-516
415.89000-967,103-516
416.74400-1038,276-516
416.98200-1041,280-516
417.18800-1059,327-516
419.66800-1099,384-516
419.88500-1138,402-516
420.05300-1138,397-516
422.14300-1254,481-516
422.32100-1260,424-516
422.51300-1272,449-516
422.73100-1286,503-516
423.39700-1288,345-516
423.59200-1340,383-516
423.85000-1370,367-516
424.06300-1294,291-516
424.27700-1270,243-516
424.52300-1312,362-516
425.29000-1288,373-516
425.50700-1342,351-516
425.71200-1273,301-516
425.93000-1123,267-516
426.15900-1048,271-516
426.38600-1063,280-516
426.58700-1052,255-516
426.82000-964,221-516
427.03800-914,211-516
427.48000-1247,332-516
427.66700-1282,348-516
427.85700-1297,359-516
428.82000-1448,407-516
429.01200-1441,399-516
429.23500-1446,343-516
429.46200-1367,221-516
429.69100-1225,205-516
429.90400-1207,184-516
430.30400-1210,143-516
430.52500-1192,124-516
430.72300-1145,159-516
430.92000-1110,184-516
431.10700-1084,212-516
431.87000-911,388-513
432.68100-1336,289-516
432.87600-1366,388-516
433.09200-1376,415-516
433.35700-982,502-516
433.53900-949,471-516
433.73400-971,473-516
433.91300-946,484-516
434.34300-793,578-513
435.12600-1007,595-513
435.65400-981,287-516
435.83700-971,276-516
436.02800-959,208-516
436.23200-958,201-516
436.44600-971,178-516
436.67100-1035,244-516
436.86600-1101,242-516
437.07200-1145,196-516
437.32200-1143,213-516
437.56300-1174,223-516
437.76100-1154,199-516
437.98800-1042,288-516
438.18600-1004,237-516
438.40500-1006,207-516
438.63700-953,225-516
438.88000-935,216-516
439.28400-966,220-516
439.49600-939,101-516
439.85300-910,169-516
440.05300-1063,200-516
440.25800-1130,175-516
440.77300-1023,151-516
440.99000-992,207-516
441.21800-975,302-516
441.48100-988,366-516
441.66900-1173,371-516
441.90300-1149,395-516
442.27900-1234,335-516
442.50100-1264,412-516
442.69800-1316,408-516
442.91700-1325,466-516
443.41700-1469,476-516
443.61900-1498,462-516
443.84700-1423,413-516
444.05000-1255,322-516
444.30500-1124,347-516
444.50400-1052,401-516
445.23100-1055,508-516
445.89600-1264,336-516
446.08900-1280,317-516
446.28800-1222,235-516
446.51600-1203,191-516
446.74900-1124,165-516
446.96800-1100,163-516
447.19900-1159,296-516
447.41700-1199,344-516
