time,actions
2,19
3,37
4,64
5,132
6,95
7,163
8,75
9,119
10,125
11,198
12,203
13,101
14,163
15,199
16,155
17,73
18,94
19,83
20,130
21,231
22,299
23,136
24,211
25,63
26,215
27,88
28,259
29,179
30,81
31,121
32,191
33,143
34,121
35,266
36,140
