49.18642 - 799,767 - Button.right
49.27498 - 793,767 - Button.right
49.42447 - 763,653 - Button.right
49.54365 - 697,623 - Button.right
49.68777 - 650,599 - Button.right
49.76581 - 648,599 - Button.right
51.08561 - 558,614 - Button.right
51.19185 - 485,671 - Button.right
51.31339 - 472,722 - Button.right
51.40943 - 477,759 - Button.right
52.28817 - 704,544 - Button.right
52.36049 - 682,536 - Button.right
52.49588 - 643,537 - Button.right
52.58501 - 583,538 - Button.right
52.72900 - 679,440 - Button.right
52.83045 - 719,427 - Button.right
52.91534 - 865,405 - Button.right
53.03502 - 861,405 - Button.right
55.27227 - 745,508 - Button.right
55.39369 - 669,543 - Button.right
55.47330 - 698,563 - Button.right
55.58405 - 650,675 - Button.right
55.67252 - 657,679 - Button.right
55.78909 - 666,766 - Button.right
56.08621 - 688,490 - Button.right
56.17148 - 667,469 - Button.right
56.27940 - 834,400 - Button.right
56.38089 - 850,393 - Button.right
56.48154 - 874,361 - Button.right
56.57563 - 876,359 - Button.right
58.80737 - 896,357 - Button.right
58.90019 - 782,412 - Button.right
58.98946 - 792,458 - Button.right
59.09358 - 754,494 - Button.right
59.18114 - 709,524 - Button.right
59.29881 - 645,540 - Button.right
59.38900 - 633,542 - Button.right
59.50318 - 606,544 - Button.right
59.60464 - 605,545 - Button.right
59.71567 - 595,548 - Button.right
59.84314 - 595,565 - Button.right
59.95263 - 572,637 - Button.right
60.04917 - 609,716 - Button.right
60.16255 - 622,765 - Button.right
60.80649 - 941,703 - Button.right
60.88817 - 843,781 - Button.right
60.99833 - 818,802 - Button.right
61.10982 - 796,814 - Button.right
61.67525 - 999,540 - Button.right
61.77332 - 897,542 - Button.right
61.87299 - 886,542 - Button.right
61.95514 - 862,537 - Button.right
62.95843 - 986,429 - Button.right
63.05457 - 671,642 - Button.right
63.14527 - 657,680 - Button.right
63.25742 - 614,793 - Button.right
63.35304 - 595,831 - Button.right
63.47741 - 591,873 - Button.right
63.61967 - 606,909 - Button.right
63.74502 - 608,921 - Button.right
64.32505 - 802,877 - Button.right
64.45055 - 809,886 - Button.right
65.03108 - 992,845 - Button.right
65.12527 - 994,841 - Button.right
65.24596 - 912,710 - Button.right
65.34226 - 810,679 - Button.right
65.45530 - 772,642 - Button.right
65.55543 - 732,633 - Button.right
67.37272 - 1563,220 - Button.right
67.49315 - 1566,219 - Button.right
69.45631 - 1218,668 - Button.right
69.54049 - 1216,781 - Button.right
69.64538 - 1241,817 - Button.right
69.74585 - 1244,820 - Button.right
69.87657 - 1271,794 - Button.right
69.96632 - 1271,793 - Button.right
70.11641 - 1372,660 - Button.right
70.22354 - 1380,656 - Button.right
70.67984 - 1488,565 - Button.right
70.76532 - 1454,592 - Button.right
70.84703 - 1447,597 - Button.right
70.94590 - 1453,612 - Button.right
71.11952 - 1459,453 - Button.left
71.37448 - 1024,640 - Button.left
71.86684 - 1605,483 - Button.left
72.14584 - 1169,464 - Button.left
72.47718 - 1560,428 - Button.left
72.69430 - 1024,640 - Button.left
72.86585 - 1312,506 - Button.right
72.95244 - 1284,548 - Button.right
73.04534 - 1296,579 - Button.right
73.15148 - 1270,663 - Button.right
73.24438 - 1264,684 - Button.right
73.33243 - 1341,560 - Button.right
74.14682 - 1648,511 - Button.right
74.22047 - 1619,619 - Button.right
74.31287 - 1631,619 - Button.right
74.41612 - 1615,647 - Button.right
74.50665 - 1504,797 - Button.right
74.61884 - 1485,804 - Button.right
74.69200 - 1491,798 - Button.right
74.81041 - 1494,786 - Button.right
75.36336 - 1560,476 - Button.right
75.46034 - 1511,539 - Button.right
75.54144 - 1492,549 - Button.right
75.65325 - 1249,759 - Button.right
75.73175 - 1174,830 - Button.right
75.84141 - 1082,944 - Button.right
75.92619 - 1058,932 - Button.right
76.03845 - 989,956 - Button.right
76.10778 - 947,988 - Button.right
76.24353 - 936,1019 - Button.right
76.31773 - 928,1027 - Button.right
76.44785 - 900,1038 - Button.right
76.55526 - 869,1030 - Button.right
76.65754 - 816,1010 - Button.right
76.76108 - 741,842 - Button.right
76.87250 - 720,840 - Button.right
79.07294 - 1236,492 - Button.right
79.18651 - 732,817 - Button.right
79.27393 - 712,836 - Button.right
79.39514 - 643,866 - Button.right
79.47895 - 641,866 - Button.right
79.60599 - 613,862 - Button.right
79.69348 - 606,857 - Button.right
79.80898 - 580,856 - Button.right
79.92094 - 558,829 - Button.right
80.02360 - 552,829 - Button.right
80.26301 - 513,580 - Button.right
80.35299 - 522,548 - Button.right
80.45300 - 594,510 - Button.right
80.55523 - 566,523 - Button.right
83.47958 - 1484,418 - Button.right
83.57705 - 916,618 - Button.right
83.66806 - 819,670 - Button.right
83.78270 - 639,759 - Button.right
83.86701 - 610,775 - Button.right
83.99358 - 572,831 - Button.right
84.13543 - 497,880 - Button.right
84.25167 - 443,898 - Button.right
84.34708 - 439,901 - Button.right
84.47055 - 424,905 - Button.right
84.77177 - 371,918 - Button.right
84.88641 - 358,927 - Button.right
85.92261 - 728,939 - Button.right
86.03365 - 765,982 - Button.right
86.14228 - 807,966 - Button.right
86.22584 - 806,941 - Button.right
87.48705 - 859,559 - Button.right
87.59110 - 528,842 - Button.right
87.67508 - 509,884 - Button.right
87.79679 - 526,884 - Button.right
87.88445 - 533,904 - Button.right
88.00458 - 527,917 - Button.right
88.10120 - 515,935 - Button.right
88.21190 - 489,949 - Button.right
88.29571 - 487,949 - Button.right
88.40469 - 489,949 - Button.right
88.52279 - 492,933 - Button.right
88.62619 - 479,931 - Button.right
88.76272 - 432,825 - Button.right
88.83265 - 424,816 - Button.right
90.68799 - 906,429 - Button.right
90.77371 - 416,708 - Button.right
90.87471 - 310,788 - Button.right
90.99265 - 161,944 - Button.right
91.07809 - 160,1027 - Button.right
91.20213 - 149,1100 - Button.right
91.62035 - 554,964 - Button.right
91.72905 - 583,963 - Button.right
91.83123 - 594,982 - Button.right
91.94252 - 593,982 - Button.right
92.07439 - 544,980 - Button.right
92.19612 - 498,995 - Button.right
92.30122 - 429,998 - Button.right
92.41182 - 331,1008 - Button.right
93.75653 - 989,635 - Button.right
93.84789 - 500,800 - Button.right
93.94412 - 328,886 - Button.right
94.05658 - 295,950 - Button.right
94.71209 - 594,475 - Button.right
94.83174 - 596,468 - Button.right
96.24627 - 942,754 - Button.right
96.36372 - 880,908 - Button.right
96.45762 - 888,976 - Button.right
96.58868 - 887,996 - Button.right
98.35325 - 909,554 - Button.right
98.46694 - 512,885 - Button.right
98.54733 - 491,917 - Button.right
98.65630 - 546,1029 - Button.right
98.80009 - 1101,886 - Button.right
98.92930 - 1168,853 - Button.right
99.01476 - 1239,816 - Button.right
99.12331 - 1245,806 - Button.right
99.24985 - 1316,749 - Button.right
99.33228 - 1343,697 - Button.right
100.63937 - 1465,515 - Button.right
100.74044 - 1317,737 - Button.right
100.82898 - 1297,795 - Button.right
100.95838 - 1163,903 - Button.right
101.03636 - 1069,929 - Button.right
101.14837 - 980,946 - Button.right
101.24861 - 940,951 - Button.right
101.35065 - 920,955 - Button.right
101.57744 - 854,725 - Button.right
101.68584 - 822,564 - Button.right
101.79990 - 835,415 - Button.right
101.90600 - 852,377 - Button.right
103.50317 - 1100,517 - Button.right
103.60049 - 907,581 - Button.right
103.70630 - 818,544 - Button.right
103.83225 - 743,526 - Button.right
105.60583 - 1076,388 - Button.right
105.70997 - 820,435 - Button.right
105.79621 - 740,399 - Button.right
105.91347 - 643,380 - Button.right
105.99549 - 625,377 - Button.right
106.12343 - 602,389 - Button.right
106.21153 - 589,400 - Button.right
106.31257 - 564,402 - Button.right
106.42406 - 562,398 - Button.right
106.52729 - 519,393 - Button.right
106.66202 - 392,168 - Button.right
106.75945 - 271,63 - Button.right
106.90702 - 433,114 - Button.right
107.03491 - 377,160 - Button.right
107.67044 - 0,0 - Button.right
107.84205 - 85,211 - Button.right
107.99654 - 429,343 - Button.right
108.11638 - 388,337 - Button.right
108.94416 - 874,1079 - Button.left
109.02606 - 870,1073 - Button.left
110.02429 - 571,380 - Button.right
110.13089 - 284,580 - Button.right
110.21577 - 266,639 - Button.right
110.33648 - 204,754 - Button.right
110.47257 - 106,945 - Button.right
110.53156 - 105,953 - Button.right
111.53174 - 954,1100 - Button.left
111.62822 - 954,1099 - Button.left
112.07325 - 934,937 - Button.right
112.16959 - 931,916 - Button.right
112.26592 - 982,886 - Button.right
112.37507 - 992,921 - Button.right
112.46762 - 1004,956 - Button.right
112.58402 - 1015,960 - Button.right
112.72805 - 1058,973 - Button.right
112.85306 - 1063,975 - Button.right
113.55777 - 1132,870 - Button.right
113.64648 - 1132,868 - Button.right
113.75888 - 1140,809 - Button.right
113.85540 - 1147,808 - Button.right
113.96942 - 1200,751 - Button.right
114.07867 - 1209,753 - Button.right
114.53002 - 1147,569 - Button.right
114.62723 - 1149,569 - Button.right
114.73108 - 1207,539 - Button.right
114.82827 - 1210,540 - Button.right
116.48427 - 1317,432 - Button.right
116.59053 - 837,602 - Button.right
116.67575 - 690,690 - Button.right
116.79946 - 588,774 - Button.right
116.86719 - 487,772 - Button.right
116.99861 - 387,835 - Button.right
117.06967 - 363,837 - Button.right
117.19317 - 288,860 - Button.right
117.26573 - 169,807 - Button.right
117.39692 - 111,819 - Button.right
117.46232 - 108,819 - Button.right
117.59253 - 99,837 - Button.right
117.68067 - 99,839 - Button.right
117.80236 - 92,849 - Button.right
117.88593 - 91,849 - Button.right
118.00959 - 83,851 - Button.right
118.66031 - 473,937 - Button.right
118.77569 - 479,941 - Button.right
118.87771 - 486,983 - Button.right
118.96901 - 484,1021 - Button.right
119.07477 - 495,1023 - Button.right
119.19421 - 455,1044 - Button.right
119.51933 - 669,967 - Button.right
119.61221 - 689,963 - Button.right
119.72231 - 768,946 - Button.right
119.83171 - 754,947 - Button.right
119.98708 - 939,800 - Button.right
120.09283 - 939,798 - Button.right
120.21378 - 1038,744 - Button.right
120.31777 - 1042,745 - Button.right
120.42469 - 1074,759 - Button.right
120.53525 - 1048,808 - Button.right
120.64648 - 1067,794 - Button.right
120.75299 - 1071,796 - Button.right
120.88229 - 1071,812 - Button.right
120.98603 - 1078,819 - Button.right
121.21138 - 1291,612 - Button.right
121.32463 - 1292,613 - Button.right
121.43576 - 1292,613 - Button.right
121.53635 - 1299,622 - Button.right
121.78416 - 981,641 - Button.right
121.90568 - 919,661 - Button.right
122.02299 - 891,669 - Button.right
122.12429 - 850,675 - Button.right
122.86572 - 924,435 - Button.right
122.97490 - 913,456 - Button.right
123.07439 - 904,498 - Button.right
123.18873 - 883,526 - Button.right
124.43376 - 855,644 - Button.right
124.53750 - 816,719 - Button.right
124.63182 - 811,756 - Button.right
124.75260 - 810,785 - Button.right
125.13048 - 1040,780 - Button.right
125.23534 - 1033,781 - Button.right
125.38084 - 1025,743 - Button.right
125.46883 - 869,652 - Button.right
125.56526 - 811,561 - Button.right
125.66814 - 812,560 - Button.right
126.57344 - 1469,419 - Button.left
127.10164 - 1024,640 - Button.left
133.11602 - 1307,1241 - Button.left
133.22075 - 1307,1241 - Button.left
135.24466 - 1417,415 - Button.right
135.34334 - 1416,415 - Button.right
135.44675 - 1414,416 - Button.right
135.54571 - 1365,428 - Button.right
135.64672 - 1360,437 - Button.right
135.76578 - 1329,464 - Button.right
135.86904 - 1320,477 - Button.right
136.01798 - 1305,496 - Button.right
136.74502 - 903,713 - Button.right
136.86020 - 777,755 - Button.right
136.96204 - 726,790 - Button.right
137.06702 - 651,820 - Button.right
137.20309 - 644,821 - Button.right
137.30659 - 644,821 - Button.right
137.49553 - 957,845 - Button.right
137.59404 - 972,849 - Button.right
137.71694 - 1201,820 - Button.right
137.80908 - 1203,819 - Button.right
137.91305 - 1252,754 - Button.right
138.02689 - 1249,753 - Button.right
139.49007 - 1188,599 - Button.right
139.58131 - 897,814 - Button.right
139.66416 - 798,905 - Button.right
139.77497 - 713,990 - Button.right
139.84617 - 685,1013 - Button.right
139.97286 - 627,1050 - Button.right
140.05471 - 613,1057 - Button.right
140.17702 - 561,1086 - Button.right
140.27070 - 551,1092 - Button.right
140.39891 - 543,1096 - Button.right
141.62655 - 415,1033 - Button.right
141.73038 - 476,999 - Button.right
141.83740 - 512,960 - Button.right
141.93547 - 501,958 - Button.right
142.90804 - 616,833 - Button.right
