z,y,x,button
3.014,-1054,784,left
3.091,-1054,784,left
4.074,-1259,1363,left
4.174,-1259,1357,left
6.973,-473,260,left
7.053,-472,260,left
9.873,-342,340,left
9.945,-343,340,left
13.366,-326,207,left
13.458,-326,207,left
16.411,-382,1023,right
16.491,-382,1023,right
18.176,-11,1139,right
18.278,-11,1139,right
18.683,-109,1476,right
18.794,-127,1499,right
19.764,-1042,1760,right
19.889,-1042,1760,right
20.401,-1042,1760,left
20.500,-1042,1760,left
25.602,-1126,1875,left
25.701,-1126,1875,left
36.235,-1010,1772,right
36.358,-1009,1772,right
40.126,-996,1758,left
40.232,-996,1758,left
41.210,-1009,1760,left
41.294,-640,1024,left
41.801,-1018,1770,left
41.886,-1018,1770,left
42.370,-355,1354,right
42.477,-407,1305,right
42.567,-539,1333,right
42.666,-651,1257,right
42.755,-671,1256,right
42.860,-681,1267,right
42.960,-706,1255,right
43.049,-721,1224,right
43.148,-726,1218,right
43.230,-732,1226,right
43.359,-730,1332,right
43.437,-733,1338,right
43.556,-732,1378,right
43.651,-735,1393,right
44.181,-765,1309,right
44.246,-802,1271,right
44.358,-816,1223,right
44.455,-823,1127,right
44.569,-796,1017,right
44.673,-787,969,right
44.793,-755,909,right
44.885,-747,878,right
45.006,-623,833,right
45.106,-558,820,right
45.209,-368,839,right
45.327,-259,818,right
45.764,-294,977,right
45.856,-295,976,right
45.962,-365,930,right
46.074,-386,933,right
46.169,-399,931,right
46.281,-417,929,right
46.372,-453,916,right
46.490,-471,917,right
46.578,-471,902,right
46.718,-476,891,right
46.819,-474,883,right
46.925,-475,885,right
47.018,-477,880,right
47.121,-477,883,right
47.231,-475,880,right
47.328,-476,885,right
47.441,-451,923,right
47.549,-454,932,right
47.667,-454,946,right
47.747,-455,948,right
48.069,-395,1107,right
48.153,-394,1110,right
48.491,-371,1135,right
48.576,-372,1136,right
63.042,-1124,1880,right
63.152,-1123,1880,right
64.879,-1127,1878,left
65.009,-1127,1878,left
65.710,-613,1040,left
66.094,-640,1024,left
68.153,-220,964,right
68.285,-219,964,right
70.312,-402,854,right
70.416,-401,854,right
71.025,-463,719,right
71.142,-463,719,right
75.381,-522,514,right
75.500,-522,514,right
76.274,-521,528,right
76.402,-521,528,right
77.908,-594,1074,right
78.002,-594,1076,right
87.674,-778,1542,right
87.736,-778,1542,right
87.840,-707,1575,right
87.947,-710,1570,right
88.055,-661,1564,right
88.143,-651,1572,right
88.285,-534,1572,right
88.404,-501,1563,right
88.480,-511,1494,right
88.634,-626,1590,right
88.715,-659,1613,right
88.799,-651,1636,right
88.896,-619,1684,right
88.983,-647,1707,right
89.083,-675,1718,right
89.167,-675,1718,right
89.285,-696,1753,right
89.400,-706,1765,right
89.523,-714,1789,right
89.644,-716,1766,right
89.992,-579,1288,right
90.091,-580,1275,right
90.194,-593,1268,right
90.308,-644,1207,right
90.501,-724,1061,right
90.622,-799,978,right
90.731,-821,968,right
90.842,-842,928,right
91.125,-934,832,right
91.243,-978,795,right
91.777,-980,600,right
91.873,-985,560,right
92.230,-897,842,right
92.322,-937,831,right
92.419,-951,835,right
92.525,-965,836,right
92.709,-960,1044,right
92.823,-962,1066,right
92.916,-998,1000,right
93.026,-1045,906,right
93.123,-1045,898,right
93.234,-1045,898,right
93.641,-993,1084,right
93.744,-995,1100,right
93.858,-979,1127,right
93.956,-979,1128,right
94.067,-976,1169,right
94.184,-990,1168,right
95.872,-662,1098,right
95.973,-662,1094,right
96.710,-792,863,right
96.816,-803,840,right
96.926,-824,796,right
97.038,-843,722,right
97.232,-748,615,right
97.334,-742,610,right
97.446,-664,582,right
97.536,-659,553,right
97.654,-576,513,right
97.763,-415,531,right
97.978,-185,889,right
98.079,-224,898,right
98.181,-231,953,right
98.276,-254,983,right
98.390,-327,1190,right
98.499,-365,1214,right
100.527,-473,1567,right
100.634,-775,1373,right
100.704,-854,1379,right
100.816,-946,1334,right
100.893,-948,1322,right
101.001,-972,1313,right
101.097,-965,1317,right
101.198,-950,1327,right
101.295,-852,1502,right
101.398,-856,1510,right
101.497,-864,1516,right
101.591,-891,1510,right
101.703,-887,1518,right
101.802,-887,1519,right
101.920,-846,1592,right
102.009,-851,1589,right
102.151,-678,1767,right
102.260,-672,1770,right
102.395,-607,1739,right
102.500,-576,1709,right
102.863,-403,1688,right
102.931,-381,1686,right
103.592,-401,1546,right
103.697,-547,1260,right
103.783,-617,1115,right
103.882,-696,975,right
104.004,-714,945,right
104.115,-762,924,right
104.216,-772,913,right
104.319,-772,913,right
104.439,-772,911,right
104.544,-778,890,right
105.084,-327,1057,right
105.188,-451,993,right
105.271,-649,928,right
105.397,-779,892,right
105.478,-783,886,right
105.581,-791,888,right
105.756,-460,1418,right
105.879,-444,1442,right
105.954,-400,1572,right
106.069,-409,1611,right
107.370,-557,1205,right
107.467,-611,946,right
107.546,-645,800,right
107.660,-698,625,right
107.741,-727,544,right
107.846,-743,543,right
107.935,-744,542,right
108.040,-758,532,right
108.132,-772,526,right
108.245,-806,503,right
108.391,-888,431,right
108.533,-1068,296,right
108.862,-936,483,right
108.946,-986,423,right
109.342,-793,1237,right
109.440,-788,1245,right
109.838,-467,1517,right
109.926,-451,1520,right
110.022,-393,1565,right
110.127,-398,1568,right
111.025,-620,970,right
111.153,-722,769,right
111.783,-738,440,right
111.890,-792,346,right
112.281,-536,573,right
112.369,-534,576,right
112.488,-428,640,right
112.596,-427,641,right
112.702,-383,694,right
112.799,-377,709,right
112.894,-357,926,right
113.002,-349,967,right
114.717,-408,809,right
114.805,-501,764,right
114.912,-581,736,right
115.019,-608,755,right
115.136,-640,789,right
115.233,-570,836,right
115.332,-471,1055,right
115.435,-467,1066,right
115.529,-481,1157,right
115.634,-505,1191,right
115.736,-490,1348,right
115.842,-489,1362,right
116.027,-344,1564,right
116.118,-343,1565,right
116.895,-355,1288,right
116.976,-448,869,right
117.073,-472,833,right
117.166,-525,803,right
117.262,-553,704,right
117.357,-573,672,right
117.466,-570,659,right
117.562,-569,659,right
117.987,-306,1412,right
118.085,-374,1438,right
118.176,-403,1533,right
118.288,-427,1560,right
118.386,-440,1618,right
118.492,-473,1630,right
118.621,-480,1714,right
118.728,-462,1723,right
118.858,-434,1779,right
118.949,-435,1778,right
119.127,-504,1794,right
119.195,-512,1801,right
119.776,-497,1688,right
119.882,-630,1051,right
119.946,-713,758,right
120.071,-737,694,right
120.150,-738,682,right
120.259,-754,647,right
120.352,-772,617,right
120.458,-777,617,right
120.573,-769,627,right
120.689,-769,627,right
121.014,-467,1856,right
121.126,-471,1893,right
121.239,-407,1895,right
121.317,-384,1874,right
122.943,-464,1645,right
123.032,-540,1447,right
123.126,-603,1224,right
123.232,-789,960,right
123.426,-762,978,right
