z,y,x,button
0.082,-163,319,right
1.272,-406,1063,right
1.351,-406,1063,right
1.440,-399,1057,right
1.537,-398,1057,right
1.675,-398,1057,right
1.774,-398,1057,right
3.609,-520,1152,right
3.711,-520,1153,right
3.852,-521,1139,right
3.998,-520,1099,right
4.112,-491,1093,right
4.199,-491,1093,right
4.349,-513,1088,right
4.455,-513,1091,right
5.073,-652,1172,right
5.173,-644,1168,right
5.277,-574,1101,right
5.361,-559,1096,right
5.477,-490,1091,right
5.573,-449,1082,right
5.659,-434,1070,right
5.758,-466,1021,right
6.101,-605,627,right
6.213,-621,645,right
6.358,-408,1210,right
6.468,-213,1509,right
6.564,-148,1746,right
6.693,-146,1747,right
7.080,-241,1536,right
7.203,-236,1495,right
7.322,-256,1419,right
7.449,-274,1427,right
7.584,-481,1390,right
7.692,-625,1274,right
7.809,-669,1224,right
7.911,-683,1186,right
7.988,-742,1020,right
8.088,-883,897,right
8.472,-672,1295,right
8.559,-613,1456,right
8.664,-507,1608,right
8.786,-507,1609,right
9.215,-453,1670,right
9.313,-452,1670,right
9.459,-442,1667,right
9.578,-323,1348,right
9.669,-335,1268,right
9.794,-463,1063,right
9.911,-495,1078,right
10.021,-621,1042,right
10.139,-787,895,right
10.254,-816,875,right
10.356,-833,866,right
10.464,-846,822,right
10.573,-879,792,right
10.678,-896,745,right
10.782,-901,727,right
10.896,-901,730,right
11.113,-426,1661,right
11.222,-426,1664,right
12.244,-315,1288,right
12.332,-314,1241,right
12.422,-349,1214,right
12.529,-563,1036,right
12.658,-761,926,right
12.708,-809,889,right
12.819,-829,867,right
12.924,-829,867,right
13.213,-405,1734,right
13.320,-404,1735,right
14.246,-331,1170,right
14.352,-452,1073,right
14.447,-474,1083,right
14.541,-600,1056,right
14.638,-625,1049,right
14.767,-667,996,right
15.852,-299,1365,right
15.951,-323,1322,right
16.061,-338,1316,right
16.152,-373,1343,right
16.266,-400,1496,right
16.358,-404,1507,right
16.468,-416,1610,right
16.573,-423,1627,right
16.686,-484,1589,right
16.819,-628,1487,right
16.917,-648,1473,right
17.022,-654,1473,right
17.119,-661,1465,right
17.222,-1020,1203,right
17.513,-727,1611,right
17.599,-729,1604,right
17.699,-742,1399,right
17.798,-778,1269,right
17.914,-783,1154,right
18.005,-752,1154,right
18.136,-512,1227,right
18.253,-392,1258,right
18.330,-302,1323,right
18.478,-349,1242,right
18.566,-410,1022,right
18.675,-435,1004,right
18.786,-465,967,right
18.906,-539,802,right
18.999,-568,738,right
19.111,-601,697,right
19.213,-602,697,right
19.312,-617,669,right
19.425,-612,584,right
19.563,-636,488,right
19.720,-422,992,right
19.818,-240,1437,right
19.906,-145,1561,right
20.024,-144,1570,right
21.872,-306,1601,right
21.972,-299,1613,right
22.051,-293,1702,right
22.150,-518,1657,right
22.710,-421,1794,right
22.809,-366,1818,right
23.869,-246,1689,right
23.964,-251,1708,right
24.068,-252,1746,right
24.160,-256,1778,right
24.261,-199,1929,right
24.373,-262,1930,right
25.797,-256,1554,right
25.906,-283,1546,right
25.985,-417,1522,right
26.103,-461,1515,right
26.204,-485,1512,right
26.277,-479,1527,right
26.381,-432,1597,right
26.501,-439,1576,right
26.599,-423,1543,right
26.712,-425,1549,right
26.774,-425,1550,right
26.890,-427,1555,right
26.976,-427,1555,right
27.079,-427,1555,right
27.179,-425,1557,right
27.282,-425,1558,right
27.957,-248,1677,right
28.049,-239,1678,right
28.397,-414,1739,right
28.500,-508,1764,right
28.618,-570,1835,right
28.713,-554,1843,right
28.783,-510,1904,right
28.895,-541,1891,right
29.237,-543,1489,right
29.353,-569,1531,right
29.445,-570,1531,right
29.554,-577,1529,right
29.708,-562,1482,right
29.859,-451,1393,right
29.962,-434,1391,right
30.052,-433,1391,right
30.502,-281,1367,right
30.605,-212,1380,right
30.692,-185,1382,right
30.815,-158,1389,right
30.915,-127,1417,right
31.032,-203,1285,right
31.139,-287,1086,right
31.259,-375,1046,right
31.363,-402,1036,right
31.457,-412,1050,right
31.687,-290,1127,right
31.799,-320,1062,right
31.914,-450,934,right
32.022,-554,878,right
32.112,-577,875,right
32.222,-623,796,right
32.783,-604,677,right
32.880,-604,677,right
33.684,-620,1275,right
33.792,-497,1523,right
33.873,-372,1600,right
33.976,-459,1662,right
34.084,-388,1913,right
34.193,-412,1890,right
34.298,-387,1893,right
34.429,-384,1898,right
34.516,-378,1918,right
34.659,-429,1930,right
34.823,-450,1941,right
34.931,-472,1943,right
35.339,-534,1345,right
35.478,-634,1230,right
35.589,-645,1240,right
35.689,-661,1183,right
36.050,-420,1477,right
36.148,-298,1658,right
36.235,-191,1765,right
36.342,-149,1751,right
36.453,-48,1681,right
36.564,-66,1612,right
36.710,-34,1490,right
36.824,-31,1484,right
36.941,-30,1479,right
37.031,-37,1439,right
37.167,-87,1248,right
37.273,-166,1183,right
37.354,-263,1156,right
37.472,-382,1148,right
37.566,-427,1178,right
37.675,-531,1161,right
37.792,-582,1152,right
37.899,-629,1125,right
37.999,-654,1054,right
38.108,-668,1018,right
38.319,-470,1752,right
38.410,-481,1752,right
38.509,-486,1808,right
38.617,-494,1813,right
38.733,-504,1812,right
38.843,-545,1791,right
39.591,-1083,874,left
39.669,-1083,873,left
39.819,-550,1344,right
39.934,-597,1310,right
40.034,-545,1132,right
40.181,-603,1077,right
40.263,-633,1057,right
40.405,-668,1060,right
40.481,-668,1061,right
40.594,-670,1061,right
40.786,-322,1653,right
40.905,-257,1698,right
41.000,-157,1761,right
41.124,-228,1756,right
41.474,-486,1899,right
41.587,-631,1823,right
41.934,-105,1653,right
42.040,-105,1652,right
42.134,-122,1639,right
42.261,-404,1408,right
42.340,-506,1325,right
42.444,-584,1214,right
42.516,-589,1084,right
42.643,-641,981,right
42.706,-658,948,right
42.840,-693,881,right
43.311,-197,1456,right
43.423,-157,1480,right
43.548,-120,1456,right
43.681,-121,1449,right
44.630,-264,1661,right
44.760,-263,1661,right
44.860,-292,1683,right
44.977,-484,1611,right
45.088,-467,1604,right
45.189,-472,1584,right
45.274,-462,1365,right
45.386,-523,1285,right
45.471,-540,1232,right
45.590,-638,1059,right
45.674,-670,1029,right
45.800,-742,952,right
45.898,-755,940,right
46.030,-773,922,right
46.392,-304,1443,right
46.486,-256,1575,right
46.580,-231,1962,right
46.731,-358,1895,right
46.779,-358,1897,right
46.923,-449,1894,right
47.051,-525,1706,right
47.175,-664,1477,right
47.249,-673,1396,right
47.360,-703,1304,right
47.453,-703,1187,right
47.562,-752,1072,right
47.650,-731,1028,right
47.772,-791,939,right
47.868,-807,840,right
47.968,-813,825,right
48.072,-784,868,right
48.162,-732,974,right
48.289,-532,1525,right
48.386,-443,1723,right
48.480,-374,1936,right
48.615,-543,1935,right
48.708,-706,1849,right
48.837,-809,1668,right
48.930,-809,1633,right
49.042,-807,1625,right
49.157,-774,1535,right
49.267,-766,1487,right
49.375,-750,1397,right
49.487,-811,1122,right
49.593,-773,1009,right
49.694,-767,919,right
49.806,-683,889,right
49.909,-669,904,right
50.022,-549,1013,right
50.134,-471,1120,right
50.248,-327,1405,right
50.376,-328,1409,right
50.496,-298,1516,right
50.640,-288,1582,right
50.742,-214,1679,right
50.874,-213,1688,right
51.307,-765,899,right
51.405,-762,901,right
51.523,-463,1461,right
51.624,-277,1711,right
51.713,-197,1732,right
51.826,-222,1752,right
53.318,-571,999,right
53.400,-577,1031,right
53.495,-597,1023,right
53.591,-642,948,right
53.683,-646,940,right
53.775,-645,941,right
53.924,-303,1444,right
54.040,-334,1516,right
54.126,-304,1561,right
54.245,-296,1564,right
55.062,-384,1524,right
55.136,-386,1526,right
55.254,-510,1258,right
55.333,-519,1133,right
55.420,-511,1015,right
55.550,-511,1019,right
55.708,-311,1339,right
55.799,-300,1375,right
55.937,-160,1533,right
56.024,-160,1546,right
57.022,-703,1310,right
57.057,-703,1309,right
57.196,-672,1175,right
57.296,-656,1180,right
57.385,-621,1241,right
57.488,-623,1255,right
57.573,-609,1263,right
57.676,-609,1263,right
57.963,-550,1579,right
58.069,-560,1592,right
58.159,-569,1667,right
58.273,-574,1675,right
58.390,-561,1708,right
58.488,-553,1718,right
58.600,-406,1777,right
58.713,-411,1784,right
58.828,-373,1742,right
58.945,-404,1524,right
59.035,-373,1445,right
59.140,-372,1446,right
59.261,-373,1444,right
59.368,-416,1308,right
60.200,-566,1252,right
60.292,-571,1264,right
60.408,-500,1576,right
60.504,-489,1554,right
60.622,-495,1523,right
60.720,-530,1403,right
60.836,-569,1401,right
60.945,-577,1423,right
61.320,-557,1751,right
61.417,-559,1768,right
61.494,-558,1845,right
61.613,-592,1794,right
62.056,-674,1549,right
62.152,-662,1562,right
62.257,-668,1556,right
62.367,-645,1515,right
62.738,-1052,912,right
62.848,-1045,952,right
62.970,-816,1052,right
63.054,-799,1062,right
63.156,-777,1055,right
63.247,-787,1034,right
63.346,-755,1019,right
63.454,-719,971,right
63.526,-685,856,right
63.644,-732,766,right
63.724,-670,732,right
63.855,-683,684,right
63.937,-671,655,right
64.075,-719,539,right
64.199,-641,551,right
64.304,-608,653,right
64.395,-367,1372,right
64.514,-374,1374,right
64.611,-363,1538,right
64.735,-437,1584,right
64.872,-420,1613,right
65.009,-426,1604,right
65.181,-460,1521,right
