35.54878 - 8,1273 - Button.right
36.26062 - 708,790 - Button.right
36.35181 - 765,761 - Button.right
36.46167 - 942,706 - Button.right
36.56219 - 931,683 - Button.right
36.67025 - 964,687 - Button.right
36.78875 - 895,688 - Button.right
36.90382 - 828,586 - Button.right
37.02317 - 836,585 - Button.right
37.12677 - 985,603 - Button.right
37.24493 - 1005,682 - Button.right
37.33989 - 1064,715 - Button.right
37.43393 - 1081,717 - Button.right
37.55649 - 1189,644 - Button.right
37.65511 - 1197,646 - Button.right
37.78870 - 1390,536 - Button.right
37.89270 - 1396,480 - Button.right
38.01148 - 1422,326 - Button.right
38.13310 - 1404,181 - Button.right
38.19315 - 1403,175 - Button.right
38.29977 - 1390,171 - Button.right
38.36868 - 1305,147 - Button.right
38.49415 - 1247,271 - Button.right
38.57077 - 1455,286 - Button.right
38.69079 - 1558,310 - Button.right
38.77028 - 1347,320 - Button.right
38.87285 - 866,488 - Button.right
38.95287 - 661,523 - Button.right
39.07711 - 505,764 - Button.right
39.15311 - 491,762 - Button.right
39.28296 - 427,884 - Button.right
39.35109 - 420,881 - Button.right
39.47831 - 422,892 - Button.right
39.56063 - 416,897 - Button.right
39.68537 - 412,935 - Button.right
39.78156 - 412,951 - Button.right
39.91997 - 395,946 - Button.right
40.01295 - 378,932 - Button.right
40.14686 - 378,934 - Button.right
40.24862 - 365,932 - Button.right
40.37076 - 351,935 - Button.right
40.71918 - 1139,652 - Button.right
40.82358 - 1101,697 - Button.right
40.92936 - 1059,635 - Button.right
41.04407 - 1067,627 - Button.right
41.14173 - 1141,575 - Button.right
41.25405 - 1134,579 - Button.right
41.36895 - 1239,320 - Button.right
41.45933 - 1321,229 - Button.right
41.57482 - 1482,81 - Button.right
41.70859 - 1511,97 - Button.right
41.77502 - 1575,201 - Button.right
41.90087 - 1629,252 - Button.right
41.98192 - 1631,231 - Button.right
42.08891 - 1628,241 - Button.right
42.16971 - 1366,230 - Button.right
42.27606 - 1464,203 - Button.right
42.36989 - 1550,187 - Button.right
42.48427 - 1559,191 - Button.right
42.55885 - 1488,230 - Button.right
42.67675 - 1271,406 - Button.right
42.78685 - 1120,604 - Button.right
42.91986 - 744,890 - Button.right
43.07657 - 454,942 - Button.right
43.17446 - 483,893 - Button.right
43.29009 - 573,799 - Button.right
43.46117 - 464,894 - Button.right
43.53816 - 451,899 - Button.right
43.67152 - 451,900 - Button.right
44.50324 - 839,630 - Button.right
44.61595 - 848,633 - Button.right
44.72792 - 864,667 - Button.right
44.84268 - 827,707 - Button.right
44.94895 - 867,710 - Button.right
45.22491 - 1189,554 - Button.right
45.30340 - 1107,579 - Button.right
45.42484 - 970,602 - Button.right
45.51870 - 1031,586 - Button.right
45.63929 - 890,716 - Button.right
45.71903 - 654,838 - Button.right
45.84324 - 499,1032 - Button.right
47.95285 - 648,222 - Button.left
49.37099 - 1024,640 - Button.left
50.97007 - 598,246 - Button.left
51.16423 - 1024,640 - Button.left
52.10901 - 1118,466 - Button.right
52.19710 - 1114,454 - Button.right
52.29738 - 1095,311 - Button.right
52.41660 - 1101,305 - Button.right
52.50103 - 1088,290 - Button.right
52.62305 - 1097,313 - Button.right
52.70448 - 1112,314 - Button.right
52.82784 - 1135,320 - Button.right
52.90871 - 1162,323 - Button.right
53.02470 - 1164,340 - Button.right
53.10634 - 1164,342 - Button.right
53.22671 - 1164,341 - Button.right
53.32558 - 1165,341 - Button.right
53.44130 - 1165,341 - Button.right
53.55766 - 1167,340 - Button.right
53.63780 - 1168,340 - Button.right
55.96780 - 958,1113 - Button.left
56.04123 - 958,1113 - Button.left
56.30019 - 1625,548 - Button.right
56.39813 - 1641,566 - Button.right
56.49415 - 1638,567 - Button.right
56.61116 - 1718,525 - Button.right
57.17409 - 1561,330 - Button.right
57.26162 - 1561,330 - Button.right
57.34961 - 1574,334 - Button.right
57.45960 - 1573,339 - Button.right
57.99314 - 1535,373 - Button.right
58.09370 - 1547,376 - Button.right
59.61833 - 1636,203 - Button.right
59.72801 - 1636,202 - Button.right
59.81521 - 1633,212 - Button.right
59.92460 - 1632,212 - Button.right
60.04099 - 1614,196 - Button.right
60.16424 - 1592,209 - Button.right
60.26230 - 1577,236 - Button.right
60.39591 - 1561,276 - Button.right
60.48961 - 1581,284 - Button.right
60.64596 - 1590,322 - Button.right
60.75217 - 1544,328 - Button.right
60.87440 - 1471,335 - Button.right
60.97459 - 1488,333 - Button.right
61.09379 - 1498,339 - Button.right
61.34582 - 1151,262 - Button.right
61.45182 - 1030,261 - Button.right
61.54738 - 1014,296 - Button.right
61.67360 - 1028,213 - Button.right
62.19120 - 348,1040 - Button.right
62.28624 - 378,1034 - Button.right
62.37421 - 532,1026 - Button.right
62.48867 - 466,1092 - Button.right
63.42585 - 662,807 - Button.right
63.50973 - 662,807 - Button.right
63.67386 - 666,806 - Button.right
63.74727 - 666,806 - Button.right
63.89297 - 732,785 - Button.right
63.98631 - 734,785 - Button.right
64.10439 - 737,774 - Button.right
64.20955 - 736,770 - Button.right
64.30366 - 700,747 - Button.right
64.42078 - 684,750 - Button.right
64.50019 - 683,751 - Button.right
64.61934 - 675,755 - Button.right
64.69201 - 675,755 - Button.right
64.78333 - 675,754 - Button.right
64.86001 - 673,751 - Button.right
64.96127 - 673,751 - Button.right
66.29568 - 994,629 - Button.right
66.43737 - 1008,972 - Button.right
